episode_id,total_reward,steps,brick_hits,lives_left
1,18.0,649,15,0
2,39.0,1121,27,0
3,9.0,529,9,0
4,14.0,536,11,0
5,12.0,674,12,0
6,11.0,466,8,0
7,13.0,617,10,0
8,22.0,756,16,0
9,10.0,421,7,0
10,13.0,579,10,0
