#{"t_start": 1764629519.3200788, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1086,2.916586
1.0,710,4.265097
0.0,527,5.33714
1.0,697,6.691915
1.0,695,8.048994
0.0,520,9.090403
0.0,520,10.092649
1.0,716,11.440944
0.0,525,12.451483
3.0,950,14.457387
1.0,701,15.868869
1.0,706,17.397223
0.0,521,18.480519
1.0,648,19.887674
0.0,524,20.938674
2.0,743,22.542151
1.0,720,24.092704
1.0,647,25.515964
4.0,1196,28.224913
0.0,527,29.319008
2.0,745,30.90262
0.0,531,32.036804
4.0,1205,34.669173
3.0,1019,36.955054
0.0,529,38.033564
1.0,621,39.40241
4.0,1189,42.007114
2.0,839,43.893646
2.0,823,45.74525
0.0,525,46.866715
0.0,517,47.964653
2.0,808,49.736035
0.0,525,50.800793
0.0,517,51.978654
0.0,523,53.033118
3.0,1043,55.466695
0.0,509,56.624229
0.0,524,57.751235
1.0,702,59.328384
1.0,732,61.023488
2.0,825,62.898844
0.0,503,63.858499
1.0,720,65.533446
0.0,543,66.626763
0.0,532,67.781489
0.0,516,68.940694
0.0,515,70.023671
4.0,1198,72.808475
0.0,501,73.867634
0.0,535,74.993464
1.0,692,76.525128
1.0,705,78.017652
0.0,512,79.059808
1.0,681,80.611815
10.0,1828,84.729259
3.0,1000,86.957947
3.0,934,89.011603
0.0,507,90.056197
0.0,536,91.202644
0.0,543,92.344194
3.0,857,94.34125
2.0,734,96.047556
0.0,514,97.106014
0.0,538,98.372623
0.0,515,99.558615
2.0,820,101.436033
1.0,600,102.764141
2.0,808,104.632727
5.0,1307,107.637228
0.0,535,108.721854
0.0,531,109.91099
3.0,1026,112.218053
2.0,761,114.055324
0.0,517,115.275842
5.0,1398,118.603418
1.0,704,120.273982
0.0,519,121.418847
3.0,883,123.439368
3.0,994,125.873648
0.0,543,127.078789
2.0,913,129.208271
1.0,638,130.644065
2.0,771,132.358374
2.0,792,134.24534
2.0,761,136.07778
5.0,1214,138.877483
1.0,644,140.332068
0.0,509,141.400571
2.0,799,143.237113
0.0,532,144.37572
2.0,773,146.165293
4.0,1116,148.686976
4.0,1116,151.269408
0.0,543,152.473191
0.0,527,153.655797
0.0,536,154.831456
1.0,722,156.481182
0.0,543,157.695526
0.0,515,158.825299
1.0,709,160.445861
5.0,1275,163.375018
4.0,1043,165.88076
0.0,543,167.087749
3.0,891,169.109602
0.0,520,170.25272
0.0,508,171.41205
2.0,809,173.266672
0.0,509,174.318903
0.0,511,175.498761
1.0,651,176.930466
1.0,636,178.396133
2.0,748,180.196887
1.0,716,181.865548
0.0,516,182.953801
0.0,523,184.080891
4.0,1234,186.974862
0.0,532,188.172373
2.0,810,190.115759
2.0,757,191.898453
4.0,1210,194.833937
0.0,528,195.935312
3.0,1014,198.357215
0.0,515,199.4183
3.0,1106,202.012347
0.0,539,203.15678
5.0,1422,206.882231
0.0,531,207.961543
5.0,1506,211.400505
1.0,727,213.042082
4.0,1071,215.565789
0.0,523,216.653437
0.0,515,217.810796
2.0,763,219.544875
3.0,879,221.529618
0.0,527,222.684338
7.0,1007,225.140169
3.0,1022,227.495153
3.0,1034,229.848435
7.0,1019,232.179456
4.0,1206,235.002742
4.0,1230,237.944629
6.0,1508,241.504319
0.0,512,242.639058
0.0,539,243.775799
7.0,1015,246.289402
11.0,1091,248.898707
11.0,1103,251.558276
11.0,1651,255.440006
11.0,1111,257.934212
0.0,531,259.058287
11.0,1099,261.594093
0.0,519,262.705583
11.0,1107,265.287239
11.0,1087,267.72241
0.0,543,268.907938
0.0,535,269.974607
9.0,1628,273.503462
2.0,814,275.326413
11.0,1651,279.029855
4.0,1076,281.301655
0.0,516,282.41098
0.0,520,283.499551
11.0,1095,285.901851
0.0,520,287.014245
4.0,1222,289.680529
1.0,635,291.008405
11.0,1099,293.397753
11.0,1091,295.852695
4.0,1222,298.587585
0.0,540,299.666021
4.0,1122,302.146692
0.0,527,303.158516
1.0,627,304.562892
2.0,819,306.322825
11.0,1111,308.69471
3.0,906,310.621062
11.0,1103,312.940495
4.0,1204,315.593416
4.0,1114,317.985357
4.0,1100,320.330964
4.0,1110,322.661159
11.0,1091,325.112723
0.0,527,326.143416
0.0,516,327.206441
11.0,1087,329.610818
4.0,1122,331.972443
1.0,651,333.304767
6.0,1482,336.624804
0.0,516,337.727351
11.0,1103,340.001335
11.0,1111,342.370355
1.0,643,343.717195
0.0,532,344.843964
1.0,631,346.174179
4.0,1216,348.773547
0.0,520,349.832144
1.0,636,351.11504
11.0,1111,353.419973
9.0,1616,356.920799
11.0,1107,359.342582
9.0,1624,362.938824
1.0,712,364.463564
2.0,840,366.247691
0.0,536,367.30041
9.0,1616,370.7998
1.0,636,372.109393
11.0,1103,374.409377
9.0,1640,377.961015
1.0,723,379.482389
2.0,823,381.149273
8.0,1886,385.420567
0.0,524,386.507138
9.0,1616,389.967201
4.0,1155,392.378318
0.0,539,393.434121
2.0,739,395.044709
9.0,1636,398.624274
1.0,656,399.970458
1.0,640,401.280478
9.0,1644,404.887121
9.0,1636,408.364338
3.0,963,410.390702
11.0,1099,412.677779
11.0,1091,415.045879
1.0,655,416.409066
10.0,1816,420.449043
11.0,1912,424.68074
1.0,659,426.050193
4.0,1072,428.358017
3.0,912,430.295298
9.0,1620,433.77786
11.0,1099,436.154238
11.0,1111,438.471211
0.0,528,439.518043
9.0,1616,443.010348
6.0,892,444.962444
10.0,1810,448.876204
0.0,517,449.890657
5.0,1348,452.663018
4.0,1218,455.28294
5.0,1414,458.351397
1.0,636,459.633359
4.0,1231,462.22189
11.0,1658,465.875622
8.0,1202,468.412603
9.0,1620,471.942927
3.0,1044,474.133108
9.0,1632,477.651819
11.0,1099,479.990898
11.0,1091,482.361998
9.0,1620,485.89252
4.0,1062,488.186309
2.0,830,489.950834
2.0,759,491.523571
11.0,1111,493.839902
5.0,1422,496.935789
5.0,1204,499.421462
9.0,1307,502.219547
8.0,1326,505.133579
6.0,1542,508.422123
9.0,1620,511.964279
10.0,1496,515.233245
0.0,536,516.304077
0.0,532,517.38211
9.0,1632,521.072368
3.0,872,522.960694
5.0,1219,525.588282
3.0,872,527.418589
1.0,624,528.670492
0.0,536,529.705636
9.0,1636,533.266145
9.0,1644,536.786533
9.0,1632,540.327867
11.0,1103,542.806213
11.0,1107,545.204079
11.0,1095,547.579229
4.0,1213,550.144278
5.0,1406,553.16166
9.0,1400,556.142895
9.0,1427,559.154877
3.0,919,561.061309
13.0,1539,564.359861
4.0,1207,567.018096
11.0,1087,569.292359
11.0,1556,572.595252
9.0,1616,576.114131
10.0,1523,579.324094
12.0,1888,583.445459
11.0,1087,585.796233
7.0,1427,588.946743
1.0,639,590.307402
0.0,533,591.360833
5.0,1206,593.967449
9.0,1644,597.724756
16.0,1821,601.831972
9.0,1920,606.219211
7.0,1694,610.031014
11.0,1091,612.333749
12.0,2090,616.801812
9.0,1379,619.680118
3.0,917,621.564795
11.0,1888,625.604979
10.0,1832,629.565536
12.0,1151,631.963258
6.0,1360,634.862577
13.0,2288,639.672912
2.0,820,641.339421
5.0,1231,643.915179
1.0,655,645.265572
7.0,1008,647.365731
6.0,1486,650.554333
7.0,1498,653.639761
7.0,1004,655.723774
5.0,1334,658.524217
10.0,1686,662.132072
13.0,1413,665.145724
5.0,1183,667.590766
6.0,1400,670.430838
11.0,1107,672.670503
17.0,2416,677.8235
3.0,868,679.606354
20.0,2706,685.375505
15.0,2229,690.054989
4.0,1060,692.257203
13.0,2104,696.743774
13.0,2216,701.438443
7.0,1502,704.535565
13.0,2200,709.254159
12.0,2100,713.595427
8.0,1705,717.154843
12.0,2102,721.579023
13.0,2128,726.082839
12.0,1757,729.795234
16.0,1982,733.912829
17.0,2492,739.171595
15.0,2108,743.552715
21.0,1638,747.030076
28.0,1615,750.465703
13.0,1339,753.215294
25.0,2026,757.381754
13.0,1347,760.186587
11.0,1964,764.296557
15.0,2510,769.635115
16.0,1881,773.523567
12.0,2030,777.841967
10.0,1734,781.509498
11.0,1095,783.803398
17.0,2416,788.916714
7.0,1498,792.112592
9.0,1255,794.661917
5.0,1095,796.916841
14.0,1543,800.094718
14.0,1574,803.280843
9.0,1251,805.891534
10.0,1451,808.862726
