#{"t_start": 1764629519.379897, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
9.0,1636,557.506573
9.0,1644,560.975254
13.0,1555,564.272288
11.0,1099,566.651112
14.0,1417,569.607648
11.0,1103,571.900517
10.0,1814,575.801164
15.0,1644,579.35202
10.0,2006,583.687143
15.0,1541,587.094738
11.0,1103,589.535223
10.0,1834,593.579045
0.0,521,594.717899
0.0,529,595.864358
11.0,1103,598.245573
4.0,1230,600.927392
27.0,1846,605.124556
9.0,1845,609.266512
10.0,1804,613.219424
5.0,1276,615.863397
7.0,1722,619.4426
8.0,1790,623.233165
6.0,1526,626.471451
8.0,1195,629.031558
1.0,647,630.327297
3.0,967,632.327861
27.0,1662,635.822075
8.0,1150,638.20522
8.0,1123,640.522008
3.0,952,642.475526
12.0,1290,645.293936
5.0,1261,647.958729
7.0,1011,650.055852
14.0,2305,654.925557
3.0,927,656.816057
9.0,2002,661.102234
10.0,2067,665.587137
5.0,1094,667.834871
12.0,1674,671.290051
6.0,1244,673.879512
11.0,1103,676.160846
9.0,1998,680.383176
9.0,1399,683.241945
19.0,2620,688.779527
11.0,1768,692.505555
10.0,1736,696.182742
8.0,1561,699.435812
8.0,1814,703.255725
9.0,1263,705.890437
10.0,1443,708.852759
9.0,1998,713.021324
20.0,2818,718.991075
11.0,2191,723.607883
9.0,1383,726.515229
6.0,1464,729.561298
15.0,2534,734.947303
13.0,1402,737.831259
15.0,2100,742.218987
11.0,1091,744.483191
4.0,970,746.487733
7.0,1563,749.786517
3.0,927,751.697149
16.0,2753,757.503166
13.0,2066,761.881533
13.0,1431,764.871651
9.0,1909,768.823826
5.0,1093,771.025662
7.0,1612,774.391659
9.0,1624,777.864435
14.0,2167,782.431725
14.0,2103,786.894269
20.0,3055,793.467889
19.0,1883,797.456084
15.0,2013,801.618843
12.0,1859,805.47032
7.0,1523,808.621184
15.0,1714,812.159765
9.0,1841,816.024551
9.0,1306,818.795916
7.0,1009,820.817151
20.0,1883,824.809885
23.0,1854,828.692928
8.0,1798,832.406519
17.0,1811,836.210165
10.0,1437,839.170143
4.0,1067,841.34564
19.0,3018,847.919896
7.0,1647,851.434879
3.0,850,853.134395
11.0,1888,857.184439
8.0,1111,859.537697
16.0,1878,863.59907
8.0,1176,866.158488
15.0,2616,871.732006
11.0,2318,876.6983
9.0,1836,880.632269
12.0,1847,884.575524
20.0,1522,887.763742
9.0,1885,891.758135
12.0,1286,894.401756
14.0,1572,897.738607
23.0,1790,901.507471
16.0,2496,906.918174
10.0,1527,910.108108
17.0,2049,914.370761
14.0,1610,917.841888
0.0,536,918.858455
13.0,1410,921.875312
18.0,2073,926.4022
16.0,1798,930.400874
4.0,1121,932.881812
15.0,2552,938.543572
16.0,1871,942.483791
15.0,1604,945.847411
15.0,1530,949.0641
23.0,2021,953.288307
12.0,2108,957.7467
12.0,1284,960.476646
6.0,1322,963.234772
20.0,1310,965.98771
31.0,3211,972.831174
26.0,1710,976.437754
18.0,2498,981.710593
17.0,2238,986.481005
10.0,1914,990.439091
39.0,2280,995.274296
21.0,2591,1000.796267
15.0,2414,1005.975353
36.0,3046,1012.37084
19.0,2134,1016.885908
19.0,2454,1022.025088
33.0,3730,1030.166803
8.0,1735,1033.862593
16.0,1871,1037.748876
18.0,2274,1042.547436
12.0,2084,1047.306432
17.0,1850,1051.237767
28.0,2977,1057.448021
25.0,3050,1063.724576
20.0,2747,1069.355519
36.0,1817,1072.996762
17.0,1927,1076.929078
14.0,2480,1082.166256
30.0,3168,1088.979965
18.0,2774,1094.909562
19.0,2338,1099.707976
18.0,2396,1104.719543
9.0,1818,1108.450894
42.0,1957,1112.428456
36.0,3650,1119.996213
8.0,1687,1123.460646
34.0,2225,1127.978414
21.0,2055,1132.142905
21.0,2458,1137.296189
