#{"t_start": 1764629518.800419, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,834,2.843063
0.0,527,3.813271
1.0,692,5.131567
0.0,532,6.177853
1.0,701,7.587448
1.0,717,8.992673
1.0,628,10.246815
1.0,693,11.578193
0.0,533,12.588547
3.0,1094,14.930804
0.0,520,15.942468
0.0,531,17.004729
0.0,513,18.061574
0.0,535,19.197069
1.0,720,20.768772
1.0,718,22.265467
0.0,508,23.287634
2.0,896,25.248611
4.0,1296,28.227833
1.0,643,29.600586
2.0,842,31.342685
0.0,533,32.474763
2.0,816,34.194517
0.0,536,35.26813
2.0,803,37.017935
0.0,540,38.168229
1.0,702,39.694789
5.0,1308,42.591246
1.0,717,44.14365
1.0,697,45.675278
1.0,705,47.262684
0.0,512,48.33835
1.0,712,49.802348
0.0,533,50.904572
0.0,528,52.005413
2.0,813,53.821426
1.0,732,55.525618
3.0,1008,57.91068
2.0,890,59.973317
0.0,534,61.161293
0.0,535,62.310848
3.0,1013,64.525946
1.0,624,65.98794
0.0,533,67.049724
0.0,515,68.212599
0.0,516,69.359705
1.0,632,70.735651
0.0,517,71.863799
1.0,700,73.328097
2.0,820,75.131707
0.0,524,76.265462
1.0,693,77.770678
3.0,943,79.817264
5.0,1327,82.804516
0.0,525,83.905916
1.0,719,85.524241
3.0,1008,87.69791
1.0,688,89.156606
1.0,688,90.697328
1.0,704,92.328146
1.0,637,93.734866
1.0,632,95.197888
2.0,811,97.057547
0.0,535,98.185325
0.0,523,99.406235
0.0,518,100.626878
0.0,536,101.719309
1.0,697,103.25222
1.0,701,104.858087
5.0,1398,108.091305
1.0,644,109.465634
7.0,1626,113.389296
0.0,535,114.621589
2.0,826,116.622004
3.0,1010,118.897535
2.0,823,120.836981
1.0,653,122.273172
6.0,1473,125.858745
1.0,724,127.510561
3.0,1023,129.940959
1.0,639,131.397689
0.0,535,132.509984
1.0,636,133.952242
0.0,531,135.120755
0.0,508,136.312243
0.0,527,137.49965
4.0,1054,139.881791
5.0,1327,142.963418
2.0,893,145.070437
0.0,531,146.263632
2.0,807,148.055977
2.0,757,149.770281
1.0,632,151.190313
1.0,636,152.62567
0.0,533,153.754591
3.0,1005,156.238366
0.0,531,157.356406
3.0,1024,159.78262
4.0,1288,162.732151
3.0,1018,165.165454
0.0,532,166.360124
4.0,1068,168.846283
11.0,1087,171.444469
0.0,516,172.657506
5.0,1412,176.096143
2.0,908,178.226846
2.0,757,179.964915
0.0,515,181.124742
0.0,521,182.309393
2.0,817,184.148584
5.0,1434,187.555475
0.0,530,188.750346
2.0,813,190.717872
0.0,537,191.860099
0.0,531,193.066316
3.0,1030,195.500961
1.0,723,197.12087
0.0,528,198.263182
