#{"t_start": 1764629519.4465976, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1112,2.788149
0.0,528,3.767241
1.0,707,5.209388
1.0,694,6.56371
0.0,530,7.571394
0.0,531,8.590972
0.0,536,9.619303
0.0,527,10.574348
1.0,707,11.971422
0.0,540,13.034399
1.0,704,14.473449
1.0,712,15.876503
0.0,540,16.967024
0.0,524,18.057121
0.0,535,19.152278
2.0,800,20.935417
1.0,694,22.460077
1.0,611,23.7689
2.0,763,25.498825
0.0,509,26.605171
6.0,1600,30.157145
1.0,617,31.510313
0.0,503,32.526376
4.0,1189,35.165113
2.0,737,36.772659
4.0,1048,39.112258
2.0,804,40.812679
1.0,716,42.391457
0.0,535,43.495868
1.0,716,45.085064
0.0,511,46.231615
2.0,798,47.996959
1.0,697,49.486601
3.0,994,51.773947
0.0,509,52.823108
1.0,627,54.261711
1.0,639,55.682471
0.0,535,56.856251
1.0,642,58.296865
0.0,531,59.412253
1.0,632,60.859591
0.0,539,62.03351
3.0,930,64.069833
1.0,641,65.514174
1.0,645,66.915929
0.0,515,68.050424
2.0,911,70.089257
1.0,605,71.461143
1.0,690,72.914166
2.0,820,74.79127
0.0,520,75.880093
3.0,921,77.891175
0.0,536,78.961628
1.0,688,80.527295
6.0,1542,83.955686
3.0,1016,86.245111
4.0,1281,89.16678
0.0,492,90.198835
0.0,516,91.366065
1.0,711,92.954421
3.0,927,95.217353
0.0,517,96.252882
1.0,710,97.919606
0.0,523,99.099385
0.0,531,100.303416
0.0,521,101.432326
2.0,825,103.24646
9.0,1616,107.063582
4.0,1077,109.53775
4.0,1214,112.364712
3.0,1022,114.868166
0.0,541,116.078586
4.0,1153,118.73354
0.0,543,119.920106
3.0,950,122.166552
1.0,698,123.80332
3.0,1010,126.226489
1.0,641,127.63248
4.0,1200,130.561051
1.0,632,131.953015
2.0,818,133.817891
0.0,543,135.051089
1.0,703,136.658363
4.0,1131,139.232998
11.0,1894,143.748257
0.0,531,144.938771
0.0,528,146.124914
5.0,1259,148.989336
2.0,759,150.689104
3.0,1004,153.004372
1.0,716,154.664956
0.0,503,155.880309
0.0,527,156.995933
0.0,527,158.220204
0.0,540,159.324687
3.0,899,161.30487
4.0,1073,163.783145
0.0,515,165.013232
3.0,1080,167.626431
2.0,823,169.575142
1.0,620,170.919949
0.0,539,172.139802
1.0,606,173.533571
1.0,637,174.924105
1.0,627,176.406165
0.0,536,177.553202
0.0,502,178.669492
4.0,1233,181.700798
2.0,824,183.528512
6.0,1622,187.452147
0.0,531,188.606048
0.0,529,189.797531
0.0,523,190.978885
0.0,531,192.182284
0.0,528,193.291648
3.0,872,195.385469
0.0,520,196.544143
7.0,1015,198.888156
0.0,523,200.034188
0.0,524,201.128118
9.0,1636,205.238433
3.0,1004,207.672034
5.0,1494,211.118362
0.0,532,212.317574
4.0,1298,215.35597
1.0,712,216.923925
9.0,1628,220.839973
1.0,735,222.4514
7.0,1019,224.904368
2.0,812,226.788712
1.0,723,228.371837
0.0,539,229.512012
0.0,519,230.62853
7.0,1011,232.892947
0.0,531,233.996138
0.0,531,235.211321
7.0,1015,237.628576
6.0,1390,240.885251
2.0,815,242.754973
0.0,523,243.924159
0.0,516,245.142191
1.0,635,246.571159
11.0,1099,249.148848
0.0,507,250.360626
0.0,536,251.52295
2.0,818,253.371432
8.0,1803,257.567292
0.0,528,258.721791
11.0,1099,261.249308
0.0,535,262.377853
1.0,636,263.751451
3.0,928,265.85993
4.0,1098,268.391258
11.0,1087,270.812172
9.0,1644,274.321529
0.0,520,275.464514
0.0,520,276.515692
0.0,531,277.594987
0.0,536,278.662424
4.0,1218,281.225664
4.0,1223,283.916613
0.0,536,284.97433
0.0,516,286.068651
2.0,830,287.884179
4.0,1098,290.324763
11.0,1095,292.703476
0.0,528,293.741913
0.0,520,294.871906
0.0,536,295.984417
11.0,1111,298.404257
4.0,1138,300.834013
0.0,536,301.963989
1.0,647,303.248353
1.0,635,304.684028
11.0,1107,307.05847
11.0,1087,309.358441
2.0,743,310.925852
0.0,528,311.968536
11.0,1095,314.327377
1.0,644,315.664562
0.0,540,316.707457
3.0,906,318.625592
11.0,1091,320.920164
11.0,1087,323.238338
0.0,536,324.318479
11.0,1111,326.73989
0.0,516,327.777216
0.0,536,328.857395
11.0,1099,331.212584
11.0,1091,333.572318
6.0,1510,336.893543
0.0,540,338.015628
7.0,1692,341.648929
0.0,516,342.730489
1.0,643,344.036174
0.0,532,345.167612
11.0,1103,347.562411
9.0,1636,351.148459
11.0,1111,353.442795
11.0,1099,355.729153
11.0,1099,358.111277
7.0,1007,360.342946
1.0,655,361.674742
2.0,771,363.241156
0.0,528,364.310936
9.0,1620,367.886079
5.0,1426,370.938772
4.0,1222,373.488084
2.0,847,375.306025
5.0,1414,378.340564
11.0,1095,380.639884
8.0,1882,384.801159
0.0,519,385.992227
9.0,1620,389.420182
5.0,1345,392.303223
10.0,1812,396.346539
0.0,521,397.352274
1.0,703,398.864058
8.0,1902,403.070886
3.0,972,405.131811
9.0,1640,408.642343
2.0,815,410.376215
9.0,1624,413.848112
3.0,1028,416.123814
2.0,835,417.886473
2.0,911,419.859348
2.0,931,421.821905
11.0,1103,424.171481
3.0,942,426.263169
1.0,723,427.765186
4.0,1110,430.130282
3.0,927,432.048679
11.0,1111,434.417881
2.0,747,435.976102
9.0,1315,438.859539
7.0,1023,440.978782
11.0,1103,443.288016
7.0,1019,445.466106
4.0,1121,447.803167
4.0,974,449.848969
9.0,1648,453.33848
4.0,989,455.4252
0.0,533,456.467731
3.0,952,458.513388
5.0,1430,461.515237
4.0,1100,463.851255
2.0,805,465.54302
6.0,1454,468.683825
3.0,883,470.513914
4.0,1065,472.753982
2.0,853,474.522918
5.0,1408,477.543871
2.0,759,479.055693
4.0,1218,481.716121
10.0,1512,484.99518
3.0,1026,487.18789
0.0,521,488.25812
3.0,1008,490.417602
0.0,522,491.532326
11.0,1632,495.068654
2.0,815,496.786908
7.0,1015,498.876216
3.0,943,500.876151
8.0,1199,503.365424
9.0,1644,506.967422
9.0,1616,510.504954
3.0,887,512.346489
3.0,879,514.155859
9.0,1620,517.872198
7.0,1015,520.075087
9.0,1644,523.67213
7.0,1702,527.39811
3.0,887,529.198302
11.0,1111,531.525153
13.0,1856,535.56766
4.0,1081,537.848808
9.0,1644,541.447511
11.0,1099,543.857101
4.0,1152,546.342898
9.0,1632,549.878766
5.0,1418,552.896525
9.0,1636,556.425542
9.0,1620,559.899983
3.0,951,561.845631
9.0,1620,565.321337
10.0,2279,570.288653
9.0,1628,573.711278
3.0,989,575.843925
1.0,655,577.128265
5.0,1252,579.81097
9.0,1640,583.274883
10.0,1806,587.30888
9.0,1835,591.458161
9.0,1636,595.194374
9.0,1632,598.826015
9.0,1858,602.996635
4.0,983,605.209579
10.0,1816,609.317138
6.0,1383,612.280164
13.0,2096,616.755099
8.0,1806,620.522895
11.0,1900,624.530286
12.0,1311,627.31441
11.0,1091,629.637033
12.0,1318,632.377935
11.0,1087,634.618463
9.0,1408,637.541543
11.0,1099,639.815469
12.0,1286,642.552293
11.0,1888,646.706282
1.0,635,647.990994
6.0,1233,650.573166
6.0,1361,653.374882
12.0,2002,657.646268
8.0,1656,661.205218
8.0,1814,665.104801
8.0,1886,669.056693
10.0,2276,673.887807
8.0,1782,677.600077
13.0,2216,682.255255
4.0,982,684.258484
11.0,2232,689.025059
5.0,1356,691.798165
11.0,1099,694.049815
11.0,1107,696.350864
5.0,1200,698.790876
9.0,1380,701.673568
11.0,1935,705.843424
5.0,1312,708.524701
8.0,1786,712.27376
7.0,1491,715.422115
10.0,1885,719.299595
18.0,2595,724.853204
9.0,2233,729.555379
20.0,2468,734.740254
36.0,1944,738.783432
11.0,1101,740.948953
11.0,1892,744.983107
6.0,1436,747.986405
7.0,1011,750.069711
12.0,1162,752.411082
14.0,1558,755.638525
18.0,2032,759.913921
17.0,2336,764.892858
14.0,1694,768.389762
13.0,2134,772.840816
6.0,1362,775.704206
7.0,1715,779.370096
14.0,2336,784.328153
10.0,1447,787.344095
9.0,1275,790.016397
17.0,1939,794.077496
12.0,2088,798.554432
16.0,2622,804.006231
11.0,2328,808.972805
15.0,2271,813.736538
11.0,1094,815.983331
14.0,1630,819.390727
21.0,2832,825.418894
28.0,1433,828.376138
16.0,1829,832.156794
16.0,2310,837.033099
13.0,2514,842.365394
15.0,2588,847.983688
8.0,1517,851.193495
11.0,1660,854.777127
15.0,1681,858.306241
14.0,1938,862.421381
5.0,1167,864.991679
9.0,1837,868.889848
13.0,1813,872.776624
6.0,1472,875.898974
8.0,1599,879.28343
11.0,1584,882.649709
16.0,2011,886.965793
8.0,1738,890.655627
24.0,2986,897.068826
5.0,1272,899.730277
13.0,2567,905.272639
13.0,1507,908.41583
29.0,1814,912.210888
48.0,2252,917.049863
16.0,1847,920.995015
22.0,1598,924.325668
12.0,2309,929.515192
12.0,1282,932.387782
20.0,1466,935.651018
22.0,2956,942.027667
22.0,2964,948.381393
21.0,2786,954.290635
17.0,1942,958.469505
11.0,1107,960.804553
20.0,2406,966.004929
17.0,1863,969.88049
13.0,1410,972.80902
16.0,1800,976.635146
13.0,1414,979.523731
45.0,2004,983.666508
23.0,1782,987.546519
27.0,3102,994.075905
23.0,1786,997.913737
22.0,3026,1004.402166
21.0,2946,1010.65615
29.0,2747,1016.482621
22.0,1855,1020.340908
17.0,1931,1024.405563
13.0,2152,1029.075149
25.0,2551,1034.567551
9.0,1754,1038.213875
21.0,1518,1041.358786
18.0,1918,1045.642868
21.0,1518,1048.893867
24.0,2118,1053.326461
27.0,3140,1059.829327
21.0,2545,1065.060627
27.0,2719,1070.662271
27.0,2298,1075.309416
14.0,1934,1079.35582
21.0,2430,1084.583849
26.0,2266,1089.322882
8.0,1721,1092.890399
20.0,2427,1097.989649
13.0,1282,1100.533386
17.0,1958,1104.526042
16.0,2751,1110.202932
30.0,3622,1117.791608
22.0,2595,1123.113739
29.0,3228,1129.737285
24.0,2110,1133.996796
11.0,1087,1136.270685
