#{"t_start": 1764629519.4748006, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,704,1.874711
0.0,521,2.895451
2.0,822,4.519526
3.0,1018,6.599554
1.0,719,7.96336
1.0,633,9.235097
3.0,943,11.084546
0.0,528,12.080233
4.0,1218,14.72931
5.0,1416,17.776504
0.0,536,18.935696
0.0,531,20.057056
0.0,527,21.102741
0.0,520,22.191587
0.0,541,23.284753
0.0,520,24.372179
0.0,512,25.536352
0.0,517,26.676073
0.0,536,27.720319
0.0,521,28.822046
1.0,644,30.102779
0.0,512,31.17659
2.0,820,32.94523
3.0,1111,35.422718
0.0,511,36.475679
2.0,813,38.277386
3.0,918,40.277393
0.0,517,41.324174
1.0,635,42.68012
2.0,806,44.47529
1.0,633,45.938219
3.0,998,48.219076
3.0,1008,50.411767
0.0,518,51.537079
0.0,524,52.581511
1.0,647,53.991311
0.0,523,55.201479
2.0,841,57.13558
3.0,929,59.262527
0.0,515,60.435278
0.0,528,61.558752
3.0,1024,63.802179
1.0,631,65.267317
3.0,1086,67.807595
2.0,847,69.665065
4.0,1224,72.461101
2.0,815,74.229484
0.0,517,75.360938
1.0,655,76.752303
3.0,923,78.732295
3.0,1002,80.991057
1.0,694,82.526836
0.0,521,83.586923
1.0,645,85.015244
4.0,1196,87.647375
4.0,1206,90.444708
3.0,1018,92.764551
0.0,500,93.921528
1.0,615,95.411018
1.0,688,96.872423
1.0,633,98.423185
3.0,893,100.520389
5.0,1328,103.632839
0.0,528,104.8367
4.0,1203,107.56306
0.0,542,108.650279
0.0,511,109.815315
3.0,1030,112.133684
1.0,637,113.615062
3.0,1112,116.358694
3.0,988,118.618693
4.0,1212,121.533952
6.0,1520,125.255747
0.0,536,126.453724
8.0,1677,130.553313
2.0,771,132.247479
2.0,801,134.154108
1.0,628,135.6713
4.0,1090,138.234351
1.0,632,139.693984
0.0,541,140.824079
2.0,800,142.653498
5.0,1315,145.794976
3.0,990,148.050937
3.0,991,150.332883
5.0,1406,153.735155
1.0,641,155.216829
0.0,543,156.38802
0.0,524,157.602247
0.0,535,158.728459
6.0,1466,162.09716
4.0,1212,165.032201
0.0,543,166.184141
0.0,516,167.378877
1.0,640,168.798168
2.0,816,170.667208
4.0,1199,173.646343
3.0,938,175.84204
0.0,537,176.988975
1.0,615,178.454211
3.0,871,180.518076
1.0,628,182.013809
0.0,515,183.099504
0.0,540,184.274955
4.0,1214,187.146451
1.0,632,188.629209
0.0,516,189.803558
1.0,641,191.249387
0.0,515,192.467515
0.0,532,193.574798
3.0,1068,196.167024
0.0,528,197.285634
2.0,902,199.355892
6.0,1614,203.202243
3.0,875,205.497018
0.0,531,206.768681
0.0,515,207.848204
0.0,524,208.950051
5.0,1195,211.707074
1.0,720,213.288546
7.0,1027,215.633629
0.0,508,216.749571
0.0,529,217.96747
4.0,1218,220.754889
3.0,1030,223.166864
7.0,1015,225.594325
3.0,887,227.610348
0.0,528,228.740892
0.0,527,229.870723
7.0,1011,232.189923
1.0,660,233.543623
0.0,528,234.731009
0.0,532,235.897524
0.0,535,237.0978
7.0,1596,240.857554
2.0,795,242.728929
11.0,1107,245.422689
4.0,1086,248.044911
2.0,823,249.957364
0.0,543,251.157365
0.0,511,252.265074
0.0,507,253.391395
0.0,524,254.48742
1.0,691,256.053648
11.0,1107,258.518199
1.0,636,259.919773
0.0,540,261.038725
0.0,511,262.186165
11.0,1111,264.758009
2.0,840,266.592452
2.0,826,268.461312
0.0,507,269.537135
9.0,1624,273.056428
0.0,543,274.107241
0.0,543,275.258487
3.0,911,277.225617
1.0,644,278.551525
3.0,923,280.458188
0.0,516,281.556179
0.0,535,282.64098
11.0,1095,285.040297
0.0,511,286.136185
11.0,1087,288.544834
1.0,643,289.875596
1.0,623,291.18417
11.0,1091,293.531343
0.0,523,294.654945
6.0,1480,298.02499
0.0,536,299.120172
4.0,1138,301.614741
11.0,1087,304.038409
4.0,1126,306.561329
0.0,504,307.575716
4.0,1142,309.966446
0.0,532,311.022376
11.0,1103,313.346407
1.0,639,314.693003
11.0,1095,317.042408
1.0,620,318.288131
11.0,1111,320.5976
1.0,639,321.812678
11.0,1103,324.195218
9.0,1616,327.877881
0.0,519,328.959416
0.0,524,330.017056
5.0,1298,332.839463
0.0,539,333.893898
0.0,535,334.980301
0.0,515,336.038735
0.0,531,337.121508
0.0,528,338.229511
11.0,1107,340.470237
0.0,528,341.523796
9.0,1624,345.247494
1.0,647,346.590205
1.0,623,347.870591
1.0,639,349.177124
9.0,1632,352.698691
9.0,1636,356.211601
1.0,627,357.530557
0.0,535,358.62038
0.0,528,359.721498
0.0,520,360.788234
0.0,523,361.823719
0.0,527,362.831681
9.0,1624,366.454956
2.0,831,368.220564
11.0,1111,370.484635
1.0,651,371.796722
4.0,1214,374.393742
1.0,643,375.72296
6.0,1337,378.56386
2.0,911,380.449045
11.0,1087,382.702938
1.0,723,384.226012
0.0,531,385.42734
8.0,1910,389.526488
1.0,731,390.978683
5.0,1410,394.046632
9.0,1628,397.653827
1.0,639,398.975651
2.0,840,400.71059
1.0,699,402.205062
1.0,644,403.542364
9.0,1336,406.448242
2.0,915,408.318512
11.0,1107,410.653727
11.0,1103,412.930302
9.0,1636,416.581747
11.0,1103,418.910645
2.0,789,420.600635
1.0,655,421.943158
1.0,731,423.410752
9.0,1620,427.082036
2.0,820,428.788452
11.0,1091,431.139425
7.0,1566,434.560021
8.0,1894,438.727751
7.0,1007,440.858808
9.0,1620,444.392019
7.0,1019,446.582599
7.0,1011,448.643865
8.0,1875,452.634704
15.0,1556,456.016364
4.0,975,458.098763
6.0,1624,461.608909
3.0,900,463.464894
2.0,809,465.208813
9.0,1644,468.737322
5.0,1187,471.245233
4.0,1057,473.462954
10.0,1570,476.886221
3.0,939,478.815335
2.0,743,480.423774
3.0,947,482.415532
11.0,1082,484.711267
3.0,1022,486.880494
2.0,842,488.661822
3.0,1006,490.847404
11.0,1087,493.177505
10.0,1386,496.17865
9.0,1299,498.968845
4.0,1204,501.571398
10.0,1402,504.548222
13.0,1405,507.57675
2.0,816,509.273223
3.0,876,511.123393
1.0,636,512.457566
9.0,1628,515.995362
1.0,644,517.347336
0.0,535,518.471499
0.0,523,519.551656
9.0,1616,523.150175
3.0,874,524.95585
3.0,871,526.789683
3.0,877,528.604206
3.0,894,530.480949
12.0,2102,535.045516
11.0,1112,537.364323
9.0,1335,540.251358
1.0,655,541.646591
0.0,532,542.732116
3.0,967,544.846584
9.0,1632,548.442864
5.0,1490,551.587457
3.0,951,553.570319
9.0,1644,557.075933
2.0,740,558.622801
5.0,1272,561.290605
11.0,1091,563.544324
8.0,1790,567.478641
32.0,1938,571.616927
