#{"t_start": 1764629519.4878368, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,897,2.300452
4.0,1212,4.816645
4.0,1214,7.244377
1.0,702,8.68291
0.0,521,9.708365
4.0,1288,12.356151
1.0,699,13.813052
2.0,901,15.635485
1.0,706,17.149662
3.0,1010,19.451738
9.0,1624,23.16413
2.0,800,25.003548
0.0,527,26.052575
1.0,643,27.407937
3.0,923,29.412697
0.0,524,30.454177
6.0,1514,33.929199
1.0,681,35.381197
1.0,643,36.754596
4.0,1117,39.318243
0.0,524,40.353234
3.0,962,42.478066
3.0,1086,44.952266
0.0,523,46.112772
1.0,710,47.650654
4.0,1117,50.132168
0.0,515,51.195941
0.0,515,52.340929
2.0,740,54.012873
2.0,807,55.963874
0.0,517,57.090478
5.0,1258,60.090989
0.0,516,61.222528
0.0,523,62.371803
2.0,752,63.941005
1.0,709,65.573818
2.0,832,67.373428
1.0,619,68.825945
0.0,524,69.912743
0.0,525,71.035578
1.0,628,72.344357
2.0,795,74.118832
0.0,519,75.261856
2.0,774,76.948786
4.0,1045,79.292839
2.0,800,81.067502
1.0,641,82.420922
0.0,527,83.482541
0.0,520,84.601295
0.0,531,85.671865
1.0,701,87.177722
2.0,810,88.948998
1.0,631,90.315239
0.0,515,91.472243
0.0,524,92.557262
1.0,627,94.007915
3.0,931,96.164193
1.0,711,97.790781
0.0,543,98.979486
2.0,749,100.73304
3.0,1012,103.062408
1.0,729,104.72662
2.0,809,106.481545
7.0,1023,108.799333
3.0,1006,111.082537
0.0,528,112.29262
0.0,536,113.429353
0.0,524,114.710178
0.0,533,115.902627
1.0,697,117.458962
2.0,910,119.518009
0.0,520,120.737806
1.0,720,122.396599
2.0,910,124.524328
0.0,524,125.653703
1.0,651,127.16494
0.0,515,128.3311
0.0,511,129.436146
0.0,515,130.593267
0.0,539,131.701272
1.0,619,133.113003
0.0,539,134.267286
0.0,543,135.483763
3.0,952,137.660357
2.0,748,139.358145
0.0,515,140.547063
2.0,813,142.299536
1.0,684,143.894455
7.0,1606,147.694806
0.0,531,148.814796
3.0,933,150.93804
1.0,719,152.607155
3.0,877,154.716228
3.0,1020,157.089549
2.0,900,159.206026
1.0,707,160.816484
1.0,719,162.366266
0.0,519,163.486165
4.0,1288,166.691006
0.0,519,167.794519
1.0,707,169.481445
2.0,759,171.223178
2.0,793,173.076723
4.0,1308,176.233905
1.0,718,177.896846
0.0,511,179.010483
2.0,912,181.162673
9.0,1616,185.108501
1.0,727,186.711247
0.0,530,187.929943
1.0,715,189.61361
2.0,759,191.402714
4.0,1226,194.316415
1.0,734,195.971425
7.0,1015,198.372663
2.0,759,200.062674
0.0,523,201.164594
0.0,543,202.360565
0.0,516,203.441486
4.0,1202,206.673163
0.0,528,207.75382
0.0,520,208.871833
3.0,887,210.809944
0.0,531,212.015217
7.0,1019,214.2929
5.0,1408,217.73567
0.0,528,218.872648
5.0,1406,222.195199
0.0,527,223.408866
0.0,521,224.503755
2.0,812,226.400159
11.0,1111,228.950507
0.0,528,230.108895
7.0,1023,232.410082
9.0,1315,235.482736
0.0,527,236.695244
0.0,516,237.879917
6.0,1529,241.433561
7.0,1011,243.787821
0.0,528,245.019417
7.0,1003,247.416309
11.0,1099,250.083577
11.0,1095,252.63177
0.0,536,253.765617
11.0,1659,257.616817
4.0,1094,260.177141
11.0,1103,262.734424
4.0,1114,265.368103
4.0,1102,267.864263
0.0,527,269.028068
0.0,520,270.104186
11.0,1103,272.395357
11.0,1671,276.117285
0.0,528,277.158615
0.0,535,278.236392
11.0,1095,280.555199
4.0,1090,283.01605
11.0,1095,285.415409
0.0,524,286.520782
11.0,1091,288.910973
1.0,644,290.265438
1.0,711,291.7781
0.0,530,292.859677
4.0,1098,295.269288
0.0,523,296.364329
0.0,539,297.431406
11.0,1091,299.855558
0.0,523,300.875614
0.0,539,302.001
11.0,1111,304.468522
2.0,822,306.230629
9.0,1620,309.774047
11.0,1087,312.124285
1.0,624,313.418311
1.0,631,314.757111
11.0,1095,317.095617
11.0,1087,319.406297
5.0,1407,322.398949
0.0,524,323.455324
11.0,1111,325.871443
1.0,653,327.219669
0.0,520,328.291158
11.0,1103,330.64294
4.0,1110,333.029951
0.0,532,334.099076
0.0,523,335.194469
0.0,539,336.25188
11.0,1099,338.667465
8.0,1744,342.420641
3.0,930,344.402503
0.0,527,345.54987
11.0,1111,347.933761
9.0,1620,351.505834
9.0,1640,354.988142
1.0,655,356.273515
9.0,1644,359.941863
1.0,629,361.271414
11.0,1091,363.587094
1.0,703,365.126863
1.0,693,366.573915
1.0,640,367.886294
4.0,1226,370.432313
3.0,919,372.358966
11.0,1087,374.73016
9.0,1624,378.246528
1.0,648,379.562021
2.0,907,381.428767
2.0,748,382.959875
0.0,528,383.998755
0.0,531,385.179965
8.0,1890,389.278315
2.0,832,391.05331
7.0,1535,394.378756
1.0,727,395.865719
7.0,1011,398.04788
1.0,644,399.390276
1.0,719,400.856133
1.0,724,402.368908
7.0,1007,404.522091
3.0,1051,406.749225
11.0,1103,409.048201
3.0,849,410.850198
9.0,1628,414.347902
2.0,761,415.997812
1.0,651,417.350026
2.0,900,419.250565
9.0,1624,422.883759
11.0,1091,425.31411
2.0,826,427.070302
1.0,627,428.362319
2.0,763,429.931396
3.0,1020,432.046818
9.0,1640,435.580004
2.0,904,437.494049
1.0,631,438.787175
4.0,1112,441.152043
4.0,1231,443.753465
0.0,513,444.776309
1.0,620,446.073391
9.0,1640,449.505034
7.0,1555,452.810436
10.0,1414,455.859421
3.0,1015,458.028246
6.0,1632,461.537907
7.0,1011,463.674304
5.0,1295,466.530923
5.0,1171,469.011102
7.0,1007,471.131491
9.0,1624,474.694322
7.0,1019,476.786739
11.0,1095,479.085145
1.0,620,480.389473
5.0,1434,483.451571
3.0,866,485.289059
3.0,1034,487.493192
2.0,822,489.241071
2.0,739,490.788584
11.0,1099,493.115933
16.0,1620,496.609803
23.0,1767,500.429314
11.0,1654,503.962506
1.0,631,505.339726
4.0,1071,507.598325
2.0,828,509.295436
9.0,1644,512.864035
9.0,1378,515.837573
1.0,640,517.178577
3.0,935,519.283468
3.0,1012,521.478103
1.0,628,522.830181
11.0,1663,526.475874
9.0,1640,529.975385
7.0,1011,532.104722
5.0,1191,534.585218
9.0,1411,537.649899
9.0,1335,540.509325
11.0,1099,542.992568
5.0,1502,546.259467
8.0,1759,550.133259
8.0,1143,552.581757
9.0,1628,556.088606
6.0,1498,559.293179
6.0,1371,562.18697
7.0,1007,564.245254
3.0,1001,566.406061
9.0,1628,569.886093
9.0,1636,573.299728
0.0,529,574.35219
9.0,1624,577.875424
13.0,1349,580.768458
11.0,1702,584.444114
15.0,1750,588.33707
10.0,1832,592.433502
9.0,1644,596.173449
5.0,1498,599.516846
7.0,1517,602.900823
12.0,1915,607.242636
13.0,1756,611.185688
5.0,1336,614.024647
12.0,1302,616.763747
8.0,1806,620.530596
10.0,1358,623.353269
6.0,1613,626.752707
11.0,1107,629.093276
4.0,1219,631.60539
12.0,1291,634.306819
13.0,2286,639.181228
8.0,1786,643.023302
1.0,647,644.340907
15.0,2108,648.977206
4.0,1091,651.204051
7.0,1500,654.299614
8.0,1201,656.835862
11.0,1091,659.116185
10.0,1698,662.725575
12.0,1223,665.368225
12.0,2078,669.75139
9.0,1842,673.639035
14.0,1601,677.029122
8.0,1207,679.552035
9.0,1399,682.400265
12.0,1295,685.116343
6.0,1525,688.306805
12.0,1712,691.904416
6.0,1387,694.80019
7.0,1408,697.736562
13.0,1330,700.511428
13.0,1983,704.695617
11.0,1111,706.98621
9.0,1309,709.684137
11.0,1579,712.870009
5.0,1245,715.504108
8.0,1590,718.761991
7.0,1240,721.327067
15.0,1756,725.032287
5.0,1335,727.770447
7.0,1724,731.415557
9.0,1327,734.145267
23.0,2041,738.432118
10.0,2072,742.739598
12.0,2084,747.223777
12.0,1303,749.932374
5.0,1324,752.680378
15.0,2506,757.9961
13.0,1419,760.907784
14.0,1512,764.025882
12.0,1146,766.436311
13.0,2218,771.063341
11.0,1087,773.289033
10.0,1575,776.653306
6.0,1463,779.767977
9.0,1845,783.617711
25.0,1976,787.840606
12.0,1722,791.50402
15.0,1584,794.852813
9.0,1239,797.428255
5.0,1254,799.949265
11.0,2361,804.884428
5.0,1342,807.663263
22.0,2584,813.112173
9.0,1959,817.215804
8.0,1580,820.557782
13.0,1418,823.498715
17.0,2287,828.308945
12.0,1291,830.991205
13.0,1859,834.876663
7.0,1668,838.334367
13.0,1474,841.415914
17.0,1893,845.517317
10.0,1618,848.90738
4.0,971,850.934872
14.0,1655,854.440136
12.0,2086,858.923775
15.0,2686,864.791849
17.0,2338,869.80417
12.0,2180,874.444802
14.0,1544,877.743354
10.0,1804,881.58742
12.0,2078,886.088873
8.0,1622,889.515621
9.0,1616,892.929492
13.0,1936,897.087854
14.0,2099,901.602669
11.0,1590,904.953476
10.0,2005,909.285081
18.0,2454,914.461092
4.0,970,916.515059
26.0,1890,920.528363
21.0,1662,924.052763
5.0,1270,926.847245
25.0,2078,931.499413
20.0,2740,937.65631
25.0,2062,942.049246
3.0,1007,944.134081
16.0,1934,948.246605
11.0,1588,951.560712
6.0,1463,954.603318
20.0,2652,960.345454
9.0,1771,964.147314
17.0,2577,969.671626
26.0,2207,974.36154
20.0,2382,979.381858
21.0,2539,984.797011
