#{"t_start": 1764629518.763839, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,723,2.627995
1.0,692,4.008003
1.0,690,5.414843
3.0,948,7.282581
2.0,818,8.923179
1.0,637,10.173681
2.0,748,11.652086
1.0,628,12.899521
1.0,702,14.360052
1.0,619,15.615538
3.0,1028,17.757517
3.0,1012,20.04153
3.0,996,22.322572
1.0,720,23.858125
2.0,747,25.563023
1.0,628,26.896158
2.0,829,28.680648
2.0,801,30.419547
0.0,525,31.488447
2.0,878,33.382099
0.0,504,34.4157
0.0,529,35.522924
1.0,720,36.987965
0.0,505,38.103847
1.0,704,39.614905
3.0,926,41.624984
2.0,876,43.607817
3.0,998,45.956947
4.0,1189,48.704815
2.0,909,50.660243
6.0,1532,54.198516
0.0,529,55.41881
2.0,818,57.279907
0.0,512,58.426758
2.0,813,60.265556
3.0,875,62.299791
0.0,526,63.411014
1.0,717,64.930508
1.0,647,66.380906
1.0,696,67.890944
5.0,1177,70.612982
0.0,512,71.72773
1.0,717,73.248505
2.0,813,75.05311
12.0,1632,78.861579
0.0,516,79.943511
0.0,517,81.000172
1.0,720,82.493703
5.0,1418,85.801759
4.0,1201,88.455343
1.0,629,89.823273
0.0,527,90.900176
2.0,761,92.611548
1.0,623,94.024997
0.0,508,95.145148
4.0,1224,98.005516
2.0,775,99.860038
2.0,834,101.753443
2.0,805,103.598179
2.0,833,105.51172
0.0,529,106.577773
3.0,939,108.70592
2.0,822,110.58416
1.0,644,111.883654
0.0,524,113.102151
0.0,540,114.260763
0.0,529,115.504027
0.0,533,116.705805
3.0,1089,119.20985
0.0,543,120.388378
1.0,654,121.844537
1.0,637,123.314257
1.0,711,124.943868
0.0,511,126.088649
1.0,645,127.575459
0.0,535,128.736666
0.0,508,129.901633
2.0,790,131.791309
1.0,724,133.410175
0.0,532,134.550746
1.0,707,136.230119
3.0,952,138.405075
0.0,523,139.525937
1.0,653,141.004926
3.0,992,143.254739
0.0,508,144.353745
1.0,643,145.830266
3.0,988,148.117153
0.0,527,149.240081
1.0,636,150.645997
5.0,1414,154.013794
2.0,837,156.019272
7.0,1539,159.686502
2.0,753,161.40538
2.0,780,163.129769
0.0,515,164.246602
9.0,1335,167.519605
1.0,644,168.918009
0.0,539,170.108489
2.0,759,171.841158
2.0,801,173.69636
4.0,1299,176.842654
1.0,639,178.327888
3.0,914,180.518654
1.0,627,181.943417
0.0,511,183.130145
9.0,1616,186.923574
0.0,514,188.189708
2.0,763,189.901201
0.0,523,191.168491
0.0,535,192.334179
4.0,1226,195.25238
4.0,1232,198.127286
4.0,1150,200.843073
9.0,1616,204.674996
7.0,1003,207.373482
6.0,1618,211.095842
0.0,531,212.247242
3.0,1032,214.615988
2.0,784,216.383206
5.0,1514,219.96879
0.0,536,221.087804
0.0,543,222.252657
4.0,1204,225.119805
2.0,824,227.029453
3.0,946,229.184189
1.0,656,230.624448
0.0,519,231.697521
0.0,540,232.819982
11.0,1667,236.797223
7.0,1015,239.219311
4.0,1214,241.966024
7.0,1015,244.354109
3.0,1016,246.821193
1.0,710,248.451732
1.0,619,249.877609
11.0,1099,252.537627
1.0,619,253.902949
3.0,940,256.048193
0.0,532,257.160386
0.0,524,258.218629
0.0,507,259.356046
11.0,1087,261.878098
1.0,644,263.306319
3.0,931,265.41101
11.0,1671,269.305291
11.0,1091,271.696899
2.0,830,273.389264
0.0,527,274.418716
0.0,539,275.55507
0.0,520,276.633341
4.0,1138,279.099484
5.0,1331,281.938075
11.0,1107,284.356502
11.0,1107,286.793717
0.0,540,287.887194
4.0,1114,290.358955
1.0,635,291.687111
0.0,531,292.753227
4.0,1107,295.134631
0.0,527,296.262137
0.0,516,297.367316
0.0,532,298.419754
0.0,524,299.536237
4.0,1138,302.022279
4.0,1118,304.490726
4.0,1094,306.983093
1.0,620,308.26606
4.0,1122,310.655049
5.0,1322,313.527852
1.0,631,314.797462
1.0,627,316.126652
0.0,528,317.17644
5.0,1334,320.013133
5.0,1427,323.009611
0.0,532,324.069359
0.0,543,325.153887
6.0,1508,328.500518
0.0,524,329.573779
0.0,543,330.639879
11.0,1095,332.988704
1.0,651,334.302772
0.0,524,335.388542
11.0,1087,337.762957
7.0,1690,341.436313
11.0,1103,343.865181
1.0,643,345.191383
0.0,540,346.329469
1.0,643,347.620761
1.0,627,348.946914
1.0,639,350.244307
1.0,620,351.522969
1.0,647,352.828116
4.0,1196,355.330853
9.0,1640,358.931316
1.0,651,360.285933
1.0,655,361.630998
5.0,1319,364.478186
3.0,920,366.506341
11.0,1111,368.859539
4.0,1210,371.433944
11.0,1107,373.714654
11.0,1099,376.128733
3.0,1004,378.188051
1.0,707,379.680641
11.0,1103,381.967491
2.0,819,383.640821
0.0,532,384.676539
2.0,839,386.633347
11.0,1099,388.919049
11.0,1107,391.19702
3.0,963,393.244046
2.0,847,394.982322
2.0,907,396.925174
6.0,1598,400.478837
9.0,1636,404.060316
2.0,835,405.842487
9.0,1620,409.355829
9.0,1636,412.851579
3.0,1011,414.994592
2.0,777,416.655813
