#{"t_start": 1764629518.9642818, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,898,2.862875
1.0,633,4.035596
0.0,536,5.012267
1.0,624,6.287009
0.0,515,7.290877
2.0,892,9.098152
1.0,710,10.524066
2.0,814,12.117823
2.0,868,13.969775
5.0,1414,17.035266
1.0,647,18.346099
0.0,543,19.492349
1.0,637,20.884122
1.0,723,22.413763
2.0,879,24.378886
2.0,822,26.237025
0.0,535,27.355111
2.0,818,29.116477
1.0,636,30.400205
2.0,749,32.064662
2.0,883,33.940072
0.0,529,34.981957
1.0,705,36.497044
0.0,512,37.640867
0.0,526,38.705541
1.0,708,40.288428
1.0,632,41.584254
0.0,528,42.688824
1.0,653,44.1028
2.0,767,45.801827
1.0,713,47.352016
0.0,523,48.445897
4.0,1238,51.204665
0.0,537,52.380591
0.0,527,53.451812
1.0,631,54.889833
1.0,635,56.323674
0.0,536,57.488153
3.0,1002,59.838685
1.0,615,61.252274
1.0,628,62.694622
1.0,640,63.95743
1.0,655,65.446685
2.0,857,67.329492
0.0,522,68.445676
2.0,914,70.517252
0.0,517,71.642073
3.0,918,73.638827
0.0,531,74.758753
6.0,1586,78.474819
0.0,538,79.542513
2.0,886,81.501933
1.0,698,83.037283
5.0,1410,86.239534
2.0,800,87.974732
0.0,509,89.034137
1.0,704,90.588923
3.0,1020,92.931764
1.0,634,94.344249
0.0,515,95.579238
3.0,1086,98.095149
0.0,536,99.295672
0.0,535,100.521109
3.0,1000,102.802492
1.0,693,104.372704
0.0,525,105.550263
0.0,541,106.601205
0.0,516,107.721015
3.0,881,109.723879
0.0,541,110.873649
4.0,1055,113.324015
0.0,532,114.53782
5.0,1352,117.721146
3.0,1020,120.097442
3.0,1088,122.769254
0.0,527,123.863318
2.0,902,126.016909
1.0,629,127.516319
1.0,655,128.965701
1.0,632,130.350765
4.0,1094,132.907824
4.0,1089,135.579068
1.0,632,136.981673
1.0,609,138.340672
2.0,807,140.232137
3.0,984,142.424565
1.0,697,143.995372
0.0,543,145.200643
3.0,1004,147.48678
3.0,992,149.770334
2.0,757,151.459351
0.0,528,152.647349
0.0,540,153.78372
0.0,507,154.962132
2.0,892,157.106477
7.0,1023,159.486061
2.0,757,161.205064
8.0,1526,164.715117
0.0,515,165.956035
0.0,520,167.143062
2.0,828,168.993331
3.0,884,171.047049
2.0,793,172.941788
0.0,511,174.10839
1.0,629,175.502324
2.0,818,177.397856
1.0,620,178.835107
3.0,951,181.093902
0.0,507,182.283492
9.0,1624,186.119436
1.0,731,187.804283
0.0,543,188.958551
0.0,527,190.099458
2.0,751,191.895221
0.0,532,193.11355
2.0,771,194.81348
3.0,1030,197.252897
0.0,535,198.425553
2.0,916,200.491274
0.0,516,201.585936
0.0,535,202.778112
7.0,1015,205.235322
6.0,1450,208.837311
4.0,1214,211.556437
3.0,1030,213.980436
3.0,879,215.984214
0.0,520,217.089803
0.0,515,218.30612
1.0,710,219.939017
0.0,525,221.004327
7.0,1027,223.37216
7.0,1023,225.797534
0.0,523,226.975484
0.0,523,228.088579
3.0,1022,230.486438
7.0,1003,232.786968
4.0,1214,235.603467
4.0,1142,238.332363
11.0,1099,240.826642
9.0,1630,244.782516
3.0,1018,247.282063
11.0,1103,249.875329
11.0,1111,252.521762
4.0,1086,255.058487
1.0,699,256.630066
11.0,1107,259.09256
1.0,619,260.488631
0.0,515,261.582837
4.0,1076,264.08673
1.0,631,265.528348
9.0,1327,268.550031
5.0,1310,271.536042
0.0,515,272.530357
0.0,539,273.566136
11.0,1647,277.305319
11.0,1667,280.926311
0.0,527,282.026496
1.0,647,283.384472
11.0,1087,285.757737
0.0,535,286.877096
0.0,524,287.96974
0.0,523,289.022411
1.0,631,290.357709
1.0,628,291.671337
0.0,543,292.759517
11.0,1111,295.131666
0.0,531,296.275906
0.0,520,297.360533
0.0,515,298.407272
4.0,1230,301.092909
5.0,1318,304.041595
11.0,1103,306.531937
11.0,1107,308.901242
11.0,1107,311.227499
11.0,1107,313.572549
9.0,1636,317.190437
1.0,628,318.458835
11.0,1103,320.768744
4.0,1102,323.094897
0.0,524,324.154542
0.0,528,325.293933
5.0,1406,328.414582
0.0,539,329.496494
4.0,1102,331.847369
0.0,532,332.92648
5.0,1314,335.807305
5.0,1310,338.693877
8.0,1898,342.806724
1.0,635,344.153173
11.0,1091,346.641427
4.0,1208,349.21986
11.0,1091,351.574754
3.0,1004,353.646653
9.0,1620,357.140741
11.0,1103,359.552002
9.0,1628,363.162935
11.0,1103,365.575129
1.0,623,366.863777
10.0,1820,370.786219
9.0,1620,374.291566
1.0,633,375.636988
3.0,880,377.440961
1.0,632,378.7171
5.0,1426,381.766405
9.0,1624,385.347474
11.0,1091,387.768645
8.0,1906,391.844793
11.0,1087,394.157075
9.0,1624,397.749506
3.0,884,399.656646
7.0,1027,401.827271
1.0,697,403.270489
9.0,1636,406.834093
3.0,1029,408.957511
1.0,703,410.404769
9.0,1636,413.897429
13.0,1426,417.060254
9.0,1311,419.944799
3.0,1014,422.14603
11.0,1087,424.492535
0.0,507,425.597039
2.0,772,427.190673
8.0,1202,429.785352
10.0,1518,433.038496
2.0,836,434.775427
6.0,1488,437.983358
0.0,515,439.03114
9.0,1632,442.585043
9.0,1616,446.146314
4.0,1244,448.758509
4.0,1066,450.964493
3.0,876,452.720383
0.0,521,453.789298
13.0,1338,456.695935
2.0,834,458.381824
3.0,872,460.263574
13.0,1417,463.265451
5.0,1406,466.376338
9.0,1388,469.348233
7.0,1015,471.449298
3.0,943,473.413614
8.0,1198,476.002111
4.0,1132,478.355745
9.0,1632,481.919254
9.0,1632,485.476114
3.0,939,487.465412
4.0,1054,489.738431
3.0,1014,491.969213
9.0,1303,494.756773
3.0,941,496.741057
2.0,842,498.462005
27.0,1524,501.707447
3.0,856,503.456697
9.0,1636,507.040139
2.0,824,508.740921
3.0,880,510.581111
3.0,884,512.432692
7.0,1023,514.541736
9.0,1624,518.258671
5.0,1183,520.848456
1.0,635,522.163146
0.0,536,523.215968
11.0,1671,526.8767
11.0,1651,530.441892
3.0,886,532.280436
9.0,1616,535.818755
4.0,1059,538.102427
2.0,860,539.85565
2.0,840,541.696147
12.0,2086,546.423214
4.0,1103,548.865241
38.0,1793,552.72051
4.0,1153,555.213726
9.0,1620,558.678003
20.0,1431,561.704614
9.0,1644,565.187566
2.0,909,567.091166
10.0,1556,570.366923
14.0,2219,575.138555
8.0,1750,578.90787
8.0,1119,581.265589
11.0,1908,585.419046
11.0,1718,589.22029
1.0,651,590.586073
9.0,1632,594.183692
0.0,517,595.375134
9.0,1644,599.012173
11.0,1095,601.429157
7.0,1395,604.507858
15.0,1671,608.296684
6.0,1403,611.399841
2.0,752,612.94612
0.0,539,613.946069
5.0,1220,616.51324
15.0,2104,620.941816
11.0,1900,624.949297
8.0,1193,627.463355
11.0,1111,629.801517
1.0,631,631.069557
4.0,1056,633.263767
13.0,2200,637.932583
11.0,1892,641.983689
4.0,1160,644.430683
2.0,779,646.086251
4.0,1063,648.304794
4.0,1163,650.73116
14.0,2388,655.850061
4.0,1129,658.181716
12.0,2108,662.692403
11.0,1707,666.345435
18.0,2715,672.099103
16.0,1942,676.197262
4.0,1040,678.363367
6.0,1361,681.207589
7.0,1010,683.261007
11.0,1604,686.637044
13.0,2170,691.200938
13.0,2196,695.909634
17.0,1951,700.065415
4.0,1151,702.427942
8.0,1559,705.722708
7.0,1748,709.35904
6.0,1242,711.877851
8.0,1704,715.441257
6.0,1547,718.652097
11.0,1904,722.678917
7.0,1596,726.00865
14.0,1582,729.260272
15.0,2350,734.22109
12.0,2108,738.65236
15.0,1705,742.141721
11.0,1095,744.386019
12.0,1315,747.124052
13.0,1350,749.927943
23.0,1770,753.671815
9.0,1390,756.50748
23.0,2165,761.054524
12.0,1295,763.733659
15.0,1806,767.601598
9.0,1303,770.25803
9.0,1379,773.070711
14.0,1552,776.347347
6.0,1520,779.516924
9.0,2138,784.02261
16.0,2521,789.389058
2.0,763,790.943402
17.0,1875,794.846152
20.0,2310,799.764275
8.0,1494,802.817913
8.0,1798,806.615128
11.0,2138,811.109006
12.0,1990,815.343286
9.0,1379,818.214852
10.0,1824,822.04775
16.0,2541,827.389874
14.0,1618,830.740863
24.0,2472,835.907216
9.0,1401,838.771934
17.0,2430,843.965011
21.0,3128,850.732186
5.0,1426,853.715438
19.0,2265,858.573668
26.0,1986,862.730691
10.0,1526,866.085359
11.0,1082,868.284019
23.0,2824,874.33971
15.0,1754,878.091333
21.0,2924,884.383694
30.0,1837,888.305225
11.0,1892,892.349246
22.0,2782,898.348849
14.0,2107,902.851434
11.0,1542,906.131332
39.0,2080,910.624844
21.0,2822,916.667093
15.0,1596,920.051658
18.0,2458,925.39584
12.0,1176,927.935577
13.0,1411,931.062225
24.0,1818,935.182497
20.0,2574,940.754423
28.0,3384,948.04337
17.0,2160,952.61243
17.0,2070,957.000815
17.0,1879,961.059725
12.0,2136,965.652261
7.0,1623,969.072039
16.0,2404,974.144905
31.0,3526,981.681028
34.0,2388,986.83563
24.0,2051,991.143184
18.0,1965,995.296199
12.0,1219,997.810574
24.0,2741,1003.705101
18.0,2190,1008.381375
20.0,3070,1014.850934
12.0,2388,1019.831483
22.0,2571,1025.356987
25.0,2537,1030.822427
10.0,1752,1034.563162
28.0,1994,1038.743551
20.0,2394,1043.847341
20.0,2387,1049.201139
18.0,2154,1053.744445
26.0,2274,1058.419742
34.0,1977,1062.439393
36.0,2316,1067.178348
9.0,1758,1070.717829
28.0,2044,1074.831506
15.0,1967,1078.928195
25.0,1966,1083.103927
18.0,1834,1086.999276
12.0,2102,1091.367686
23.0,2128,1095.829817
19.0,2179,1100.333486
24.0,2291,1105.078789
23.0,1728,1108.595176
13.0,1411,1111.443812
31.0,3717,1119.220557
30.0,2494,1124.351293
30.0,3961,1132.499657
4.0,1082,1134.628494
7.0,1019,1136.707909
7.0,1704,1140.201548
