#{"t_start": 1764713411.3056993, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,704,5.282653
0.0,521,6.066107
1.0,706,7.213509
3.0,1018,8.799975
4.0,1080,10.587373
0.0,511,11.331504
0.0,531,12.127279
0.0,521,13.032151
4.0,1210,14.985722
2.0,901,16.421029
1.0,708,17.623178
1.0,643,18.601984
0.0,527,19.459973
1.0,648,20.506365
0.0,541,21.34655
0.0,497,22.111634
1.0,697,23.272006
1.0,693,24.38143
1.0,629,25.386842
0.0,521,26.152878
4.0,1062,27.815868
5.0,1338,30.011986
0.0,516,30.814308
4.0,1083,32.457778
1.0,699,33.54644
1.0,705,34.680852
0.0,520,35.432022
0.0,533,36.231172
2.0,907,37.675665
2.0,884,39.111477
0.0,521,39.911391
0.0,520,40.688098
0.0,521,41.566332
1.0,636,42.54014
0.0,517,43.303385
1.0,715,44.501206
1.0,688,45.58572
1.0,643,46.591956
0.0,525,47.410215
2.0,735,49.682205
2.0,764,51.168248
4.0,1180,53.466954
1.0,696,54.846869
3.0,1080,56.96828
2.0,841,58.589352
2.0,920,60.339113
0.0,531,61.237235
1.0,716,62.573033
1.0,732,63.914509
0.0,533,64.962289
0.0,525,65.973499
3.0,1084,68.12115
0.0,521,69.137249
0.0,533,70.112535
2.0,898,71.815516
2.0,818,73.3833
1.0,710,74.807745
2.0,753,76.225717
1.0,696,77.611806
0.0,515,78.542232
0.0,519,79.532186
0.0,529,80.50903
4.0,1130,82.743403
1.0,706,84.079761
1.0,626,85.314987
1.0,646,86.548425
0.0,511,87.486815
2.0,830,89.0581
1.0,704,90.419348
3.0,1022,92.392506
2.0,890,94.152967
4.0,1214,96.499422
1.0,690,97.767042
0.0,529,98.763103
3.0,1112,100.953868
2.0,830,102.532946
1.0,696,103.930694
3.0,990,105.931115
5.0,1398,108.762942
1.0,712,110.128655
0.0,533,111.093432
0.0,516,112.087283
1.0,699,113.430044
3.0,950,115.300542
1.0,622,116.521691
3.0,988,118.489559
3.0,1009,120.432718
1.0,712,121.773107
2.0,829,123.45972
4.0,1135,125.706234
0.0,522,126.668473
4.0,1194,129.046171
0.0,527,129.997954
0.0,508,130.963639
0.0,528,131.915899
0.0,520,132.856007
1.0,680,134.181927
2.0,826,135.716664
0.0,537,136.744922
0.0,515,137.75841
0.0,512,138.712938
0.0,516,139.68193
0.0,499,140.611538
0.0,533,141.555721
4.0,1210,143.977124
0.0,510,144.955061
0.0,524,145.925684
2.0,822,147.509074
3.0,998,149.498094
0.0,508,150.429173
1.0,700,151.773374
0.0,520,152.759926
3.0,1030,154.741581
8.0,1434,157.632168
0.0,509,158.533655
0.0,523,159.456107
2.0,899,161.20467
0.0,508,162.140832
4.0,1057,164.171105
0.0,513,165.058577
2.0,899,166.756882
1.0,708,168.117042
3.0,877,169.828827
0.0,531,170.830266
0.0,538,171.780962
3.0,1097,173.875113
0.0,529,174.900789
0.0,521,175.788931
0.0,520,176.721505
2.0,817,178.323774
0.0,540,179.318318
1.0,700,180.640532
1.0,636,181.807522
0.0,519,182.755376
4.0,1212,185.160734
0.0,519,186.15478
2.0,829,187.742245
1.0,692,189.067766
0.0,527,190.069728
1.0,731,191.415115
1.0,624,192.58721
0.0,507,193.568644
0.0,532,194.563241
1.0,683,195.881463
1.0,713,197.29405
0.0,525,198.246882
0.0,532,199.241394
0.0,511,200.169633
0.0,541,201.178645
1.0,644,202.39863
0.0,526,203.377031
0.0,515,204.370139
4.0,1296,206.866207
2.0,789,208.346455
1.0,721,209.693901
2.0,891,211.466764
2.0,824,212.995121
1.0,706,214.369508
4.0,1279,216.866302
0.0,527,217.821353
1.0,687,219.082726
0.0,519,220.048505
2.0,801,221.608922
1.0,731,223.018667
1.0,715,224.504753
2.0,814,226.038883
1.0,703,227.382419
0.0,518,228.338539
0.0,536,229.343383
3.0,1102,231.485584
3.0,873,233.170687
1.0,702,234.532278
0.0,504,235.447494
7.0,1586,238.539824
0.0,517,239.451301
1.0,638,240.614423
0.0,532,241.556822
0.0,517,242.504908
1.0,623,243.732059
3.0,939,245.6356
0.0,531,246.569176
0.0,533,247.564278
2.0,879,249.282186
0.0,496,250.156869
1.0,638,251.368211
2.0,882,253.114867
0.0,532,254.171152
0.0,527,255.135646
0.0,500,256.079495
0.0,523,257.048571
1.0,704,258.425159
2.0,829,259.983045
1.0,706,261.293539
3.0,1088,263.38839
1.0,719,264.76977
0.0,515,265.707783
1.0,631,266.89224
2.0,811,268.428224
0.0,534,269.417464
0.0,508,270.359283
2.0,843,271.902178
2.0,908,273.662374
0.0,520,274.663956
0.0,531,275.599107
1.0,711,276.918791
3.0,1006,278.834363
1.0,697,280.13485
3.0,965,281.988927
0.0,539,282.939213
1.0,710,284.368999
2.0,826,285.935217
2.0,761,287.3706
0.0,511,288.334759
4.0,1039,290.285205
1.0,632,291.513923
0.0,523,292.447072
3.0,1110,294.60733
2.0,915,296.379873
5.0,1254,298.899353
2.0,826,300.452091
0.0,527,301.425752
0.0,536,302.371753
0.0,515,303.308774
2.0,836,304.917969
0.0,520,305.869452
0.0,528,306.799304
1.0,713,308.042268
0.0,525,308.958803
4.0,1219,311.212148
4.0,1125,313.358539
0.0,536,314.350503
1.0,719,315.751812
0.0,527,316.70018
4.0,1196,319.156477
0.0,500,320.047336
3.0,941,321.898961
1.0,697,323.205285
4.0,1222,325.661991
2.0,814,327.297912
4.0,1203,329.741961
0.0,533,330.732744
6.0,1487,333.573171
1.0,639,334.870155
1.0,724,336.168672
0.0,516,337.129016
3.0,1098,339.186347
2.0,902,340.950484
4.0,1160,343.186068
3.0,954,345.043862
4.0,1189,347.332043
2.0,814,348.885184
0.0,524,349.830784
0.0,503,350.784342
0.0,497,351.667472
1.0,640,352.799475
1.0,704,354.144166
3.0,1022,356.057448
0.0,535,357.048429
9.0,1616,360.287633
0.0,501,361.237646
0.0,501,362.128353
0.0,503,363.074782
0.0,514,364.062232
0.0,523,365.023305
0.0,523,365.963391
2.0,746,367.365085
1.0,625,368.576662
0.0,516,369.551096
0.0,518,370.433158
0.0,540,371.420323
0.0,535,372.381999
0.0,507,373.310174
5.0,1264,375.821481
0.0,524,376.739358
0.0,536,377.718842
0.0,519,378.633205
0.0,520,379.576002
2.0,822,381.051441
1.0,712,382.335743
0.0,541,383.297
0.0,543,384.338922
0.0,532,385.325303
1.0,715,386.661117
1.0,626,387.808896
0.0,518,388.811775
0.0,531,389.78949
3.0,1034,391.765023
0.0,508,392.742347
0.0,529,393.697741
2.0,806,395.261245
5.0,1299,397.798761
2.0,796,399.271816
1.0,728,400.660353
1.0,707,401.946728
2.0,834,403.5861
2.0,798,405.210075
0.0,535,406.176832
0.0,519,407.12447
4.0,1130,409.363014
0.0,535,410.246038
0.0,520,411.174809
4.0,1208,413.472218
3.0,1090,415.609408
3.0,947,421.53543
0.0,527,422.467253
3.0,934,424.287321
4.0,1214,426.653535
0.0,516,427.612678
0.0,516,428.61212
0.0,535,429.576483
11.0,1850,433.247252
0.0,509,434.255258
3.0,1012,436.125648
2.0,822,437.619306
0.0,535,438.605912
0.0,512,439.614438
0.0,517,440.549211
8.0,1500,443.459038
2.0,804,445.046682
2.0,801,446.613018
0.0,539,447.523536
0.0,533,448.459203
1.0,644,449.624058
3.0,1084,451.712527
0.0,519,452.636631
1.0,732,453.997131
1.0,718,455.344942
0.0,516,456.272722
3.0,1015,458.247475
5.0,1340,460.838299
4.0,1202,463.186015
1.0,631,464.398471
3.0,1088,466.533081
0.0,500,467.481171
4.0,1312,469.978064
0.0,523,470.888169
0.0,517,471.852895
4.0,1106,474.011828
0.0,531,474.972462
5.0,1420,477.676
0.0,520,478.570569
5.0,1418,481.298309
2.0,806,482.793949
0.0,536,483.721401
1.0,731,485.061154
0.0,535,485.980555
1.0,712,487.326078
4.0,1188,489.620624
2.0,821,491.176669
9.0,1632,494.43492
3.0,1008,496.326399
2.0,821,497.896826
0.0,525,498.862507
9.0,1612,502.141519
0.0,539,503.095533
3.0,1004,505.147057
0.0,531,506.155129
1.0,641,507.414412
6.0,1530,510.514124
2.0,804,512.093141
2.0,850,513.672052
2.0,829,515.28575
0.0,532,516.279528
2.0,830,517.767955
0.0,543,518.760822
0.0,524,519.695649
0.0,525,520.648291
5.0,1406,523.459851
2.0,829,525.094536
2.0,816,526.703324
2.0,830,528.289206
2.0,813,529.788269
0.0,529,530.730418
3.0,916,532.482747
0.0,516,533.444999
3.0,944,535.299498
0.0,523,536.213523
12.0,2166,540.435488
0.0,525,541.391532
1.0,713,542.682568
4.0,1192,545.081439
4.0,1213,547.444275
0.0,521,548.40158
0.0,520,549.423129
4.0,1204,551.751943
0.0,519,552.70024
2.0,813,554.337607
0.0,516,555.325533
4.0,1196,557.648339
2.0,804,559.180233
0.0,524,560.141151
4.0,1200,562.489481
0.0,508,563.484508
0.0,512,564.445657
0.0,541,565.398333
0.0,532,566.315888
0.0,524,567.249123
0.0,533,568.232535
0.0,541,569.198737
9.0,1538,572.301328
0.0,527,573.226721
2.0,792,574.778202
2.0,809,576.351454
13.0,1864,580.124124
2.0,824,581.672269
9.0,1616,584.925642
2.0,814,586.466287
0.0,532,587.411885
5.0,1313,590.030996
12.0,2198,594.351929
0.0,523,595.253341
0.0,517,596.205114
5.0,1426,599.061532
0.0,532,599.961123
0.0,537,600.89117
0.0,543,601.839468
13.0,2248,606.356059
0.0,533,607.424262
2.0,802,608.99506
0.0,537,609.929754
2.0,824,611.541863
5.0,1422,614.362124
2.0,818,615.963753
0.0,524,616.928785
0.0,535,617.901438
0.0,543,618.848089
0.0,531,619.822332
1.0,713,621.228512
1.0,642,622.390457
0.0,527,623.299051
0.0,525,624.263292
6.0,1598,627.416625
0.0,523,628.382273
9.0,1628,631.695472
9.0,1519,634.747778
1.0,655,635.958724
6.0,1542,639.012488
4.0,1049,640.985511
9.0,1534,644.035476
5.0,1426,646.794981
2.0,821,648.336827
5.0,1398,651.029124
11.0,1974,654.930286
4.0,1099,657.084251
1.0,652,658.294616
6.0,1451,661.08163
2.0,814,662.618009
2.0,761,664.004997
2.0,756,665.420021
11.0,1851,669.214415
1.0,656,670.390224
2.0,836,671.972253
0.0,525,672.958553
4.0,1153,675.223413
2.0,892,676.925464
7.0,1734,680.386049
3.0,1096,682.535364
3.0,1024,684.598392
1.0,646,685.811874
9.0,2103,689.989173
1.0,719,691.257482
5.0,1410,694.018066
0.0,511,694.958691
3.0,885,696.681596
3.0,1112,698.790883
0.0,519,699.765306
0.0,539,700.743721
6.0,1401,703.52493
6.0,1622,706.719476
13.0,2212,711.119731
2.0,824,712.672287
7.0,1646,715.897658
2.0,907,717.626727
5.0,1238,720.076636
0.0,515,720.977098
2.0,831,722.532727
9.0,1335,725.130732
1.0,632,726.288592
10.0,1658,729.525743
8.0,1135,731.605746
3.0,877,733.25518
1.0,660,734.468363
14.0,2126,738.727896
4.0,1093,740.852546
7.0,1527,743.853873
3.0,925,745.704245
4.0,1104,747.888014
2.0,840,749.50245
6.0,1454,752.357385
0.0,523,753.341135
2.0,816,754.941917
0.0,540,755.930326
0.0,532,756.943999
4.0,1158,759.191303
11.0,2032,763.167223
0.0,528,764.147243
2.0,836,765.699452
4.0,1092,767.833197
6.0,1379,770.569856
6.0,1401,773.237868
7.0,1536,776.205078
2.0,829,777.733853
2.0,765,779.159043
2.0,769,780.570476
4.0,1105,782.650972
4.0,1153,784.851364
7.0,1495,787.695962
2.0,755,789.052012
5.0,1418,791.796001
3.0,968,793.60138
3.0,1007,795.568496
0.0,541,796.610328
10.0,1824,800.274154
10.0,1820,803.718161
4.0,1224,806.124288
2.0,833,807.720903
6.0,1197,810.097814
1.0,641,811.259655
12.0,2008,815.268588
9.0,1620,818.393964
3.0,856,820.010989
6.0,1382,822.638771
9.0,1315,825.211326
7.0,1738,828.601114
15.0,2090,832.759737
3.0,881,834.483566
8.0,1135,845.899313
9.0,1581,848.967393
10.0,2096,853.106389
17.0,2181,857.399668
3.0,1122,859.574773
5.0,1422,862.308634
14.0,1423,865.08667
4.0,1202,867.452819
2.0,906,869.241156
8.0,1699,872.575307
3.0,1037,874.619954
8.0,1750,878.044195
9.0,1323,880.65158
9.0,1644,883.961759
5.0,1355,886.659937
8.0,1135,888.874186
17.0,2388,893.62567
4.0,1061,895.708914
