#{"t_start": 1764713411.490542, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,1200,399.151332
0.0,532,400.115743
4.0,1201,402.486553
1.0,711,403.915762
0.0,518,404.883697
2.0,764,406.349183
2.0,764,407.772364
0.0,528,408.727286
3.0,1016,410.641427
3.0,1080,412.695955
1.0,644,413.862254
2.0,834,415.457832
10.0,1834,423.202293
0.0,519,424.190007
0.0,517,425.140672
6.0,1524,428.19339
0.0,537,429.183922
4.0,1200,431.472227
2.0,818,433.016982
10.0,1735,436.483716
2.0,829,437.985452
0.0,521,439.045016
2.0,834,440.617066
1.0,616,441.733394
0.0,536,442.682745
3.0,1008,444.639486
0.0,517,445.620812
5.0,1399,448.351611
1.0,681,449.636451
1.0,641,450.795683
0.0,520,451.709338
3.0,1022,453.685378
0.0,524,454.681154
3.0,1030,456.622141
0.0,526,457.597395
4.0,1205,459.954988
0.0,521,460.875725
5.0,1414,463.645789
1.0,636,464.865942
2.0,812,466.433371
0.0,520,467.35438
1.0,705,468.64813
0.0,537,469.549575
0.0,533,470.474366
0.0,521,471.453792
0.0,519,472.418929
1.0,644,473.614942
7.0,1302,476.184053
2.0,801,477.690754
1.0,636,478.810019
5.0,1407,481.517838
0.0,516,482.398344
3.0,1022,484.329519
0.0,531,485.250816
0.0,523,486.177906
4.0,1201,488.48413
0.0,501,489.37565
2.0,826,490.928782
0.0,532,491.81941
0.0,525,492.786982
0.0,512,493.752048
5.0,1426,496.557436
2.0,913,498.306055
1.0,718,499.675902
2.0,813,501.303376
2.0,798,502.803987
0.0,536,503.788076
2.0,825,505.472571
0.0,539,506.510173
0.0,508,507.473664
6.0,1530,510.59089
4.0,1196,512.984834
1.0,710,514.335295
2.0,817,515.925929
0.0,532,516.874467
3.0,1020,518.802019
5.0,1415,521.586313
0.0,523,522.53543
2.0,813,524.178476
6.0,1622,527.475253
4.0,1204,529.755468
9.0,1624,532.952557
2.0,821,534.559289
1.0,636,535.709682
0.0,508,536.615186
0.0,516,537.535205
0.0,511,538.412422
0.0,519,539.337499
0.0,515,540.313466
0.0,524,541.278783
2.0,757,542.657953
1.0,640,543.88954
2.0,821,545.480328
0.0,516,546.445011
4.0,1117,548.674613
0.0,528,549.674512
2.0,833,551.187523
0.0,541,552.146408
0.0,539,553.117682
0.0,523,554.108626
0.0,541,555.112665
0.0,535,556.08886
2.0,819,557.567371
2.0,809,559.112947
1.0,731,560.490326
5.0,1387,563.266111
12.0,2136,567.550016
6.0,1597,570.762984
0.0,517,571.733188
0.0,528,572.663808
2.0,817,574.245004
2.0,767,575.686199
0.0,521,576.689718
1.0,716,578.01166
0.0,525,579.005615
0.0,539,579.989021
2.0,823,581.557185
0.0,524,582.513729
0.0,512,583.412984
3.0,998,585.392348
1.0,632,586.555291
3.0,1008,588.53429
0.0,524,589.49018
0.0,537,590.480917
10.0,1730,593.75376
1.0,727,595.10145
6.0,1602,598.3351
0.0,531,599.285638
0.0,540,600.213918
0.0,524,601.121299
0.0,543,602.080476
10.0,1748,605.569179
2.0,912,607.491965
0.0,508,608.403919
0.0,539,609.340718
0.0,516,610.291214
10.0,1748,613.775834
0.0,531,614.779192
2.0,759,616.237476
2.0,821,617.843459
0.0,532,618.770206
1.0,651,619.987787
0.0,524,620.970999
10.0,1824,624.583809
0.0,533,625.526531
10.0,1728,628.942798
0.0,535,629.915587
0.0,517,630.885221
1.0,727,632.232145
2.0,825,633.793782
0.0,515,634.742764
0.0,523,635.703586
0.0,529,636.655179
7.0,1100,638.809155
10.0,1736,642.187278
5.0,1383,644.960538
9.0,1616,648.128626
2.0,831,649.668446
1.0,689,650.949451
5.0,1422,653.646853
1.0,712,655.061804
0.0,537,656.023139
1.0,631,657.229986
0.0,528,658.181026
9.0,1628,661.326793
4.0,1278,663.770331
1.0,643,664.955764
8.0,1817,668.639276
5.0,1332,671.227772
0.0,525,672.199163
3.0,1028,674.284806
2.0,905,676.000311
9.0,1644,679.252681
6.0,1500,682.243691
0.0,537,683.230471
1.0,707,684.642106
9.0,1542,687.649095
2.0,829,689.220017
1.0,653,690.37001
2.0,749,691.774017
9.0,1640,695.014192
3.0,941,696.853956
1.0,696,698.121029
0.0,535,699.108531
0.0,516,700.1043
0.0,516,701.067516
2.0,834,702.637544
7.0,1690,705.982659
13.0,2212,710.358692
9.0,1628,713.57232
0.0,520,714.554744
0.0,536,715.463933
0.0,516,716.437365
3.0,891,718.117904
12.0,1952,721.962916
6.0,1450,724.82392
0.0,531,725.76097
11.0,1111,727.825635
14.0,1491,730.669058
12.0,2027,734.674705
2.0,840,736.214574
8.0,1491,739.235003
2.0,823,740.81272
0.0,520,741.757522
10.0,1675,745.065233
5.0,1430,747.901635
4.0,1093,750.035348
6.0,1460,752.87839
1.0,635,754.082857
2.0,767,755.526538
0.0,527,756.542531
2.0,826,758.135545
1.0,628,759.324122
2.0,837,760.873594
3.0,891,762.498921
2.0,822,764.110307
4.0,1087,766.160816
10.0,1824,769.798434
2.0,759,771.205564
8.0,1933,774.930069
9.0,1628,778.141963
4.0,1039,780.125885
9.0,1347,782.755252
10.0,1742,786.131035
5.0,1327,788.680647
7.0,1574,791.800526
4.0,1038,793.757648
5.0,1494,796.832224
3.0,1043,798.809124
3.0,1112,800.951803
8.0,1711,804.24338
5.0,1398,807.029483
2.0,828,808.648795
7.0,1747,812.05817
2.0,827,813.638484
12.0,2121,817.758475
5.0,1426,820.513733
11.0,1107,822.541683
11.0,2105,826.728594
5.0,1329,829.302087
11.0,1940,833.150015
2.0,829,834.730118
15.0,1695,847.325075
5.0,1416,850.044223
9.0,1763,853.516283
10.0,1984,857.432584
3.0,956,859.239304
9.0,1491,862.124737
3.0,1097,864.269254
6.0,1546,867.308333
6.0,1400,870.110991
11.0,1103,872.217263
13.0,1916,876.075067
13.0,2103,880.252758
4.0,1127,882.491414
12.0,1147,884.813186
13.0,2210,889.219665
10.0,2139,893.464382
8.0,1760,896.985219
9.0,1267,899.432353
10.0,2063,903.414779
9.0,2219,907.814116
13.0,2146,912.075229
15.0,2128,916.345956
7.0,1657,919.580829
13.0,2200,923.883044
11.0,1099,925.974148
10.0,1527,928.937981
16.0,2662,934.362418
7.0,1687,937.583781
8.0,1119,939.698201
11.0,2157,944.016615
18.0,2800,949.582075
13.0,1427,952.367054
12.0,1307,954.918058
22.0,2950,960.746088
4.0,1307,963.26928
5.0,1127,965.48248
10.0,1764,969.00053
11.0,2152,973.23265
11.0,1087,975.39346
12.0,1294,977.949564
10.0,2153,982.191694
11.0,1107,984.355942
11.0,1888,988.158745
12.0,1243,990.568222
15.0,2596,995.7524
11.0,1928,999.573687
14.0,2831,1005.299518
9.0,1942,1009.16194
12.0,2046,1013.203943
10.0,2256,1017.805265
18.0,2496,1022.814256
18.0,2818,1028.561204
7.0,1527,1031.500641
7.0,1581,1034.731389
12.0,2008,1038.813346
15.0,2458,1043.957702
14.0,2113,1048.440453
3.0,872,1050.284384
6.0,1450,1053.323111
0.0,507,1054.375632
7.0,1682,1058.091347
10.0,1738,1061.795972
10.0,1750,1065.478902
7.0,1575,1068.822733
8.0,1848,1072.768753
10.0,1507,1075.95592
5.0,1201,1078.398381
11.0,1888,1082.343852
13.0,2643,1087.786955
11.0,1091,1089.916289
9.0,1765,1093.374486
12.0,2565,1098.533781
12.0,1294,1101.06204
16.0,2951,1106.974044
11.0,1087,1109.127115
10.0,2142,1113.336939
11.0,2311,1118.012476
18.0,1517,1120.966531
14.0,2352,1125.699742
13.0,2206,1129.995503
11.0,2026,1134.034477
13.0,1422,1136.950491
17.0,2898,1142.683316
13.0,2200,1147.037881
22.0,2494,1151.918107
21.0,2789,1157.442206
18.0,2306,1161.857759
16.0,2634,1167.080492
18.0,2484,1171.983182
14.0,2628,1177.271287
12.0,1905,1181.005588
23.0,3050,1187.314921
17.0,2624,1192.593804
17.0,2742,1198.182793
18.0,2290,1202.758094
21.0,1937,1206.634553
11.0,1817,1210.234724
16.0,2826,1215.882776
12.0,2322,1220.461736
19.0,1849,1224.158974
11.0,2471,1229.052515
12.0,2294,1233.554046
24.0,3034,1239.53706
10.0,1945,1243.344697
11.0,1873,1247.043427
23.0,3084,1253.097164
15.0,2704,1274.498744
14.0,1642,1277.683961
16.0,2962,1283.659039
14.0,2550,1288.845405
11.0,1099,1290.960223
17.0,3250,1297.41037
13.0,2093,1301.679368
18.0,2223,1306.196528
18.0,2115,1310.358221
15.0,2101,1314.498225
24.0,3802,1322.150756
18.0,2695,1327.613949
20.0,3283,1334.239941
20.0,2596,1339.355707
28.0,4003,1347.289366
12.0,2431,1352.091068
12.0,2348,1356.703082
19.0,1613,1359.819012
11.0,2319,1364.350952
23.0,3307,1370.893127
25.0,3387,1377.434932
17.0,2822,1382.856334
17.0,2487,1387.75033
24.0,2587,1392.816828
19.0,3402,1399.578934
22.0,3311,1406.048341
19.0,3370,1412.802069
30.0,3052,1418.929781
20.0,1970,1422.76328
19.0,2698,1428.126277
19.0,2783,1433.540844
11.0,2292,1438.045547
20.0,2580,1443.104385
22.0,2988,1448.955745
19.0,2740,1454.366446
8.0,1156,1456.571851
11.0,2260,1461.108916
22.0,3033,1467.132318
15.0,2908,1472.909349
13.0,2597,1477.939318
19.0,2593,1483.048333
13.0,2277,1487.520479
12.0,2186,1491.844278
14.0,2140,1495.989315
17.0,2471,1500.952161
18.0,2807,1506.502667
15.0,2594,1511.567988
8.0,1766,1514.998928
12.0,2535,1519.971733
21.0,2495,1524.808781
14.0,2767,1530.155189
9.0,2119,1534.277785
24.0,2832,1539.819997
12.0,2383,1544.474178
6.0,1441,1547.208092
16.0,2479,1552.004964
13.0,2640,1557.171237
17.0,2709,1562.517995
18.0,2822,1568.120826
20.0,3241,1574.573845
20.0,2643,1579.783565
18.0,1439,1582.502403
22.0,2881,1588.22869
10.0,1821,1591.689365
21.0,2810,1597.200057
35.0,2592,1602.230891
20.0,2159,1606.436746
20.0,1835,1610.01179
23.0,2926,1615.712959
11.0,2283,1620.087141
26.0,3354,1626.565363
17.0,2472,1631.293151
34.0,4044,1639.180561
27.0,2675,1644.473023
32.0,2498,1649.321978
30.0,4209,1657.568643
24.0,3339,1664.108816
9.0,2039,1668.035258
21.0,2988,1673.778372
21.0,3170,1693.994429
25.0,2083,1698.028532
15.0,2523,1702.893488
23.0,2528,1707.750769
20.0,2780,1713.126839
15.0,2432,1717.867707
22.0,2795,1723.27523
29.0,4079,1731.272847
28.0,3114,1737.34681
17.0,2641,1742.474671
24.0,3377,1749.023386
22.0,2025,1752.869371
12.0,2542,1757.871026
10.0,2335,1762.467588
23.0,3064,1768.487448
23.0,2952,1774.25428
18.0,2159,1778.355081
19.0,2444,1783.019927
32.0,3052,1788.972973
17.0,2653,1794.123494
27.0,4156,1802.217729
40.0,2992,1807.902466
22.0,3493,1814.67344
19.0,2816,1820.169842
18.0,2789,1825.631023
14.0,2388,1830.293905
19.0,2852,1835.800733
33.0,3050,1841.71506
35.0,3833,1849.197093
10.0,2125,1853.23402
43.0,4182,1861.400693
11.0,1810,1864.87844
14.0,2479,1869.618669
27.0,3126,1875.842451
28.0,2529,1880.795987
19.0,2583,1885.935337
11.0,2217,1890.297733
25.0,1955,1894.155996
39.0,3838,1901.690104
32.0,4415,1910.4685
23.0,3610,1917.469764
31.0,3683,1924.821664
31.0,4233,1933.04476
17.0,1845,1936.619271
16.0,1743,1939.968583
26.0,3266,1946.365751
31.0,3244,1952.747422
19.0,2263,1957.130424
16.0,1965,1960.953094
30.0,3585,1967.994269
41.0,4574,1977.002943
20.0,1897,1980.596171
21.0,3088,1986.738783
17.0,2638,1991.85783
9.0,1902,1995.519116
14.0,2542,2000.467826
23.0,2825,2005.990393
19.0,2202,2010.169598
13.0,2342,2014.703003
4.0,1051,2016.708126
14.0,2490,2021.505233
38.0,3485,2028.282482
50.0,5674,2039.315773
14.0,2412,2043.975131
34.0,3908,2051.515221
17.0,2791,2056.977155
30.0,3374,2063.617993
18.0,3047,2069.584507
22.0,3380,2076.135687
24.0,2992,2081.840535
14.0,1641,2085.087412
33.0,2665,2090.345565
11.0,2526,2113.237726
27.0,4165,2121.619159
22.0,2884,2127.381899
21.0,3275,2133.763473
20.0,2455,2138.537277
43.0,4416,2147.326317
25.0,2742,2152.645535
17.0,1959,2156.420374
24.0,2121,2160.558626
44.0,4547,2169.426
21.0,2021,2173.294409
33.0,3825,2180.735003
23.0,3229,2187.12332
24.0,3186,2193.404124
28.0,3075,2199.339013
17.0,2987,2205.064641
35.0,2876,2210.56232
21.0,2049,2214.975108
19.0,2858,2220.736406
18.0,3055,2226.901335
54.0,4408,2236.33019
47.0,4436,2245.322877
25.0,2201,2249.726208
23.0,2828,2255.427454
21.0,2526,2260.585101
25.0,3809,2268.010558
34.0,4238,2276.383451
37.0,4541,2285.582219
19.0,2963,2291.328081
40.0,5092,2301.591287
33.0,4078,2309.698912
52.0,4196,2318.017971
47.0,3891,2325.620327
14.0,1672,2328.828053
16.0,2638,2333.928607
26.0,3616,2340.930702
20.0,2991,2346.79377
31.0,3997,2354.602945
19.0,2812,2360.113565
38.0,4398,2368.648283
26.0,2779,2374.025449
40.0,4934,2383.94756
27.0,3643,2391.019811
27.0,3698,2398.16896
18.0,2011,2401.998363
41.0,3917,2409.593803
32.0,3996,2417.360033
22.0,3053,2423.187754
10.0,2000,2426.945906
28.0,3109,2432.953597
16.0,1956,2436.777712
34.0,3933,2444.462503
26.0,3371,2450.896236
18.0,2760,2456.111565
32.0,2918,2461.612997
51.0,4436,2470.209844
33.0,3031,2476.01129
38.0,3919,2483.689592
29.0,3517,2490.515749
38.0,3245,2496.880883
16.0,2944,2502.696665
18.0,2724,2508.033466
63.0,5616,2541.941736
63.0,5562,2552.845809
16.0,2940,2558.476734
20.0,2857,2564.002333
15.0,2575,2568.962117
21.0,3059,2574.898362
48.0,5524,2585.70784
36.0,4511,2594.557028
33.0,3748,2601.903759
27.0,3600,2608.921302
17.0,1930,2612.658484
31.0,3625,2619.759272
24.0,3489,2626.58127
22.0,2663,2631.791028
31.0,3787,2639.100777
39.0,3579,2646.515885
13.0,2282,2651.202856
