#{"t_start": 1764713411.3908095, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,716,5.220433
1.0,684,6.307647
2.0,894,7.76472
1.0,659,8.749057
0.0,525,9.568363
0.0,529,10.364784
1.0,685,11.43767
0.0,508,12.23945
2.0,825,13.654841
0.0,522,14.456345
2.0,842,15.778501
1.0,702,16.917934
2.0,900,18.404474
0.0,517,19.248804
0.0,507,20.058915
1.0,719,21.234692
1.0,713,22.393783
2.0,739,23.600409
1.0,716,24.742901
0.0,530,25.553083
0.0,519,26.323101
0.0,529,27.106942
3.0,964,28.641114
0.0,520,29.389402
0.0,513,30.180003
10.0,1668,32.84388
3.0,990,34.504961
3.0,919,35.962142
6.0,1442,38.336716
0.0,529,39.155692
1.0,698,40.246758
1.0,642,41.287014
2.0,818,42.584031
2.0,899,44.095725
0.0,533,44.914203
2.0,810,46.23315
1.0,712,47.400348
2.0,833,49.835696
0.0,527,50.808189
0.0,508,51.722894
3.0,1011,53.668133
0.0,519,54.680854
0.0,541,55.625726
1.0,692,56.962826
0.0,510,57.926431
2.0,892,59.635004
4.0,1171,61.88274
0.0,523,62.798348
2.0,906,64.614122
0.0,497,65.572659
0.0,531,66.566231
1.0,651,67.744447
2.0,894,69.499631
0.0,508,70.466509
1.0,680,71.749088
2.0,826,73.276413
2.0,825,74.91275
4.0,1232,77.321415
0.0,518,78.253434
1.0,645,79.48841
1.0,641,80.694088
0.0,513,81.656975
5.0,1423,84.51165
1.0,708,85.866265
4.0,1128,88.11588
2.0,826,89.648309
3.0,1022,91.663244
1.0,735,92.986436
0.0,508,93.956413
0.0,535,94.902859
0.0,532,95.840318
0.0,525,96.781338
0.0,519,97.702378
1.0,623,98.95423
3.0,1012,100.921549
0.0,535,101.864351
0.0,516,102.836622
0.0,499,103.814447
2.0,833,105.437681
2.0,912,107.211338
3.0,1131,109.436916
0.0,508,110.382882
0.0,539,111.361838
0.0,520,112.300256
0.0,507,113.238672
3.0,1077,115.418458
1.0,641,116.663893
5.0,1410,119.501028
1.0,715,120.864836
0.0,524,121.836926
0.0,530,122.823464
0.0,520,123.785655
0.0,537,124.752727
1.0,697,126.100469
0.0,528,127.088687
0.0,515,128.027133
0.0,533,129.023026
1.0,724,130.409947
0.0,539,131.403343
3.0,1038,133.370333
4.0,1181,135.742568
2.0,825,137.384699
1.0,639,138.610449
0.0,498,139.544177
3.0,1023,141.561674
3.0,931,143.397732
2.0,898,145.227169
6.0,1590,148.482807
0.0,520,149.433008
0.0,515,150.389828
2.0,907,152.148605
7.0,1326,154.78194
0.0,521,155.702726
4.0,1230,158.060008
3.0,998,160.001427
2.0,801,161.564523
4.0,1197,163.851212
0.0,524,164.790387
0.0,522,165.713017
1.0,726,167.094088
3.0,1028,169.05803
1.0,713,170.414555
1.0,648,171.61949
5.0,1410,174.438385
0.0,525,175.344417
5.0,1434,178.173866
0.0,521,179.135023
1.0,632,180.295678
1.0,712,181.608677
3.0,1100,183.738946
1.0,643,184.958067
0.0,518,185.939903
0.0,522,186.892446
4.0,1216,189.279645
3.0,1014,191.295008
3.0,910,193.104588
2.0,821,194.718063
3.0,963,196.658883
1.0,703,198.021414
0.0,532,199.020171
1.0,688,200.326639
2.0,808,201.967721
0.0,517,202.935777
0.0,532,203.888508
13.0,1906,207.687281
0.0,534,208.662355
0.0,513,209.571941
0.0,515,210.534699
0.0,520,211.490099
0.0,531,212.396995
0.0,520,213.372317
0.0,538,214.407051
6.0,1620,217.545421
3.0,1025,219.475926
2.0,821,221.061932
1.0,726,222.438234
3.0,991,224.533578
0.0,527,225.472818
0.0,531,226.41272
4.0,1206,228.78071
0.0,511,229.726302
0.0,516,230.659776
2.0,825,232.230028
0.0,516,233.197968
5.0,1326,235.807209
3.0,922,237.597877
3.0,1008,239.527391
1.0,616,240.686622
0.0,522,241.653702
1.0,702,242.981562
0.0,523,244.00411
1.0,624,245.219837
1.0,641,246.416772
1.0,722,247.804827
4.0,1224,250.150165
1.0,709,251.507301
0.0,519,252.41054
0.0,538,253.429487
1.0,710,254.874366
0.0,527,255.821245
0.0,518,256.790352
1.0,643,257.992768
1.0,700,259.342193
2.0,732,260.738046
3.0,1108,262.832258
1.0,709,264.217628
2.0,767,265.66271
0.0,532,266.610871
0.0,535,267.51434
1.0,693,268.875865
1.0,631,270.064788
1.0,692,271.359075
0.0,527,272.288331
2.0,912,274.112003
4.0,1301,276.617337
0.0,532,277.532624
0.0,543,278.464152
1.0,707,279.800098
1.0,688,281.140885
4.0,1191,283.423267
1.0,690,284.864059
