#{"t_start": 1764713411.6993814, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,903,5.252477
2.0,895,6.679207
4.0,1224,8.647981
1.0,702,9.78422
4.0,1127,11.625394
3.0,1022,13.437184
3.0,999,15.034682
1.0,705,16.143933
0.0,522,16.971851
3.0,1012,18.667158
2.0,906,20.235984
1.0,632,21.255384
0.0,535,22.065906
0.0,539,22.908361
2.0,818,24.231885
0.0,531,25.058272
3.0,998,26.647695
2.0,745,27.803767
1.0,650,28.80905
0.0,501,29.565395
0.0,508,30.345231
2.0,829,31.578413
2.0,894,32.974208
0.0,515,33.790434
5.0,1420,36.078722
3.0,942,37.624339
0.0,523,38.396073
1.0,692,39.488888
4.0,997,41.218493
0.0,507,41.988542
2.0,808,43.302116
3.0,962,44.930208
0.0,516,45.71492
0.0,523,46.558513
1.0,708,47.676753
1.0,727,50.029444
2.0,833,51.623941
1.0,627,52.771718
1.0,701,54.192891
1.0,724,55.525713
0.0,524,56.483115
0.0,505,57.452707
4.0,1112,59.623655
4.0,1216,61.951101
0.0,521,62.90962
1.0,708,64.340364
0.0,513,65.301746
0.0,512,66.240279
0.0,528,67.202254
1.0,735,68.627011
0.0,525,69.582457
0.0,523,70.547013
4.0,1208,72.838785
0.0,515,73.8945
1.0,700,75.238275
0.0,515,76.149334
0.0,541,77.146116
2.0,810,78.703623
0.0,543,79.703815
4.0,983,81.620331
0.0,524,82.58248
2.0,823,84.164967
2.0,805,85.774569
0.0,537,86.76242
2.0,877,88.446375
2.0,748,89.898508
0.0,543,90.871831
0.0,524,91.825888
0.0,533,92.75966
1.0,627,94.004755
4.0,1217,96.310216
1.0,704,97.629094
0.0,502,98.576231
6.0,1542,101.668432
0.0,524,102.629576
0.0,531,103.629307
0.0,507,104.598947
0.0,527,105.578736
1.0,640,106.767999
1.0,713,108.060249
0.0,511,108.991437
0.0,523,109.953274
1.0,724,111.339534
0.0,532,112.315025
1.0,636,113.498768
0.0,491,114.450438
1.0,713,115.798985
2.0,820,117.457976
0.0,526,118.388526
2.0,920,120.154875
2.0,813,121.777648
0.0,523,122.726833
4.0,1185,125.114829
1.0,730,126.49731
3.0,1010,128.475875
3.0,1019,130.539357
0.0,531,131.523949
2.0,822,133.111763
2.0,890,134.86121
0.0,520,135.847284
0.0,503,136.823586
0.0,525,137.792359
1.0,711,139.148799
2.0,818,140.718906
5.0,1269,143.248003
1.0,631,144.4591
0.0,525,145.442113
4.0,1276,148.020437
0.0,515,148.949952
2.0,902,150.726631
0.0,519,151.694907
0.0,511,152.653925
3.0,1030,154.675611
2.0,766,156.088856
3.0,935,157.839563
3.0,1011,159.769159
0.0,523,160.712274
0.0,535,161.664569
2.0,880,163.310537
2.0,799,164.88855
1.0,720,166.227627
1.0,624,167.416589
0.0,529,168.381369
0.0,507,169.280007
0.0,509,170.259744
2.0,810,171.811359
3.0,1020,173.836126
3.0,998,175.747078
0.0,520,176.706695
0.0,520,177.62211
0.0,521,178.614458
0.0,541,179.599418
0.0,513,180.524517
3.0,953,182.341524
2.0,807,183.909249
0.0,519,184.875224
0.0,516,185.857576
3.0,1017,187.807803
2.0,817,189.401646
3.0,946,191.281193
3.0,996,193.256749
1.0,708,194.624256
0.0,525,195.586298
1.0,643,196.822628
1.0,697,198.150983
3.0,1082,200.360277
0.0,533,201.381166
0.0,498,202.303602
10.0,1880,206.07433
0.0,527,207.015795
1.0,625,208.240968
2.0,825,209.826662
1.0,725,211.184808
0.0,528,212.11799
0.0,543,213.0974
3.0,875,214.807241
3.0,938,216.619306
3.0,931,218.398538
3.0,1026,220.407442
1.0,690,221.725574
0.0,540,222.732423
0.0,507,223.786889
0.0,522,224.738976
4.0,1150,226.93146
0.0,516,227.869805
0.0,531,228.852171
2.0,806,230.403984
0.0,531,231.365142
2.0,769,232.802052
1.0,717,234.157151
5.0,1334,236.753846
1.0,635,237.941672
1.0,629,239.132562
0.0,504,240.042526
0.0,524,240.9843
3.0,943,242.82513
3.0,922,244.731629
1.0,619,245.925251
0.0,508,246.888925
1.0,720,248.232788
3.0,1019,250.162373
1.0,697,251.499404
1.0,713,252.883013
2.0,814,254.540868
0.0,518,255.484696
2.0,819,257.1182
0.0,531,258.10227
3.0,1017,260.067008
2.0,834,261.614959
2.0,830,263.187125
2.0,839,264.799865
1.0,653,266.008445
1.0,694,267.310759
0.0,524,268.254645
1.0,657,269.464133
4.0,1308,271.952326
0.0,507,272.902273
1.0,701,274.305093
2.0,795,275.822937
2.0,819,277.35489
0.0,520,278.284547
4.0,1138,280.508476
0.0,535,281.459343
0.0,517,282.419528
3.0,1002,284.478131
1.0,632,285.628469
2.0,810,287.216819
3.0,1008,289.122257
1.0,635,290.312332
2.0,911,292.096435
3.0,1014,294.076769
1.0,636,295.314462
2.0,818,296.91101
2.0,831,298.464895
3.0,931,300.234291
0.0,516,301.195394
1.0,627,302.325113
1.0,728,303.61916
0.0,521,304.642391
0.0,539,305.607591
3.0,1104,307.653232
1.0,687,308.935787
3.0,1002,310.758774
0.0,513,311.675536
1.0,727,313.014307
1.0,708,314.462536
0.0,522,315.448304
0.0,521,316.431116
3.0,931,318.260115
0.0,507,319.227095
0.0,535,320.183673
1.0,723,321.539967
3.0,954,323.354289
1.0,703,324.709635
2.0,907,326.466582
0.0,520,327.464116
0.0,535,328.4404
1.0,633,329.649492
0.0,512,330.604105
8.0,1502,333.450299
0.0,519,334.520946
1.0,633,335.62128
0.0,515,336.561178
4.0,1224,338.896243
4.0,1117,341.056365
2.0,744,342.461744
1.0,633,343.694116
2.0,753,345.108445
0.0,522,346.06632
1.0,645,347.248231
0.0,525,348.210873
0.0,509,349.153627
4.0,1224,351.546582
0.0,532,352.488381
2.0,820,354.002108
3.0,998,355.911466
4.0,1125,358.15154
1.0,626,359.306073
0.0,536,360.258761
3.0,1016,362.198521
0.0,516,363.17234
2.0,737,364.631521
0.0,515,365.569838
1.0,652,366.750948
4.0,1314,369.381439
0.0,520,370.345467
1.0,644,371.555064
2.0,837,373.137188
0.0,509,374.105306
1.0,607,375.223714
2.0,825,376.760717
5.0,1510,379.711852
5.0,1290,382.204654
0.0,543,383.143203
0.0,543,384.171672
0.0,533,385.147889
4.0,1130,387.314786
0.0,523,388.284262
5.0,1279,390.881603
