#{"t_start": 1764713411.5769029, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,898,5.392889
0.0,528,6.16752
0.0,543,6.983376
2.0,814,8.237134
0.0,507,9.055041
9.0,1706,11.913354
1.0,638,13.028361
0.0,521,13.867432
1.0,685,14.905123
2.0,798,16.175375
1.0,640,17.199049
1.0,720,18.35036
1.0,696,19.491997
0.0,527,20.333134
4.0,1190,22.384604
1.0,641,23.374604
0.0,543,24.190777
0.0,518,25.019541
1.0,636,25.984752
3.0,1097,27.725296
7.0,1306,29.876899
1.0,724,30.966395
1.0,621,31.88875
0.0,513,32.622319
1.0,720,33.729122
0.0,516,34.562119
1.0,627,35.513427
0.0,520,36.297076
1.0,717,37.421464
0.0,541,38.209526
2.0,830,39.500969
0.0,515,40.291669
2.0,828,41.665732
0.0,537,42.499203
0.0,527,43.296389
2.0,747,44.539408
1.0,723,45.67702
0.0,528,46.502243
0.0,511,47.313218
1.0,627,49.376828
1.0,701,50.745405
0.0,528,51.688829
0.0,541,52.599044
1.0,653,53.845618
2.0,902,55.608792
4.0,1214,58.030466
1.0,709,59.331438
1.0,677,60.63627
0.0,531,61.537471
4.0,1202,63.986886
2.0,918,65.804392
1.0,636,66.996027
1.0,698,68.290784
1.0,634,69.5533
1.0,628,70.780756
0.0,517,71.684488
2.0,897,73.418464
2.0,809,74.995746
4.0,1223,77.416134
0.0,523,78.376332
2.0,811,79.97199
1.0,640,81.156386
0.0,535,82.098401
3.0,938,83.958563
1.0,629,85.199718
0.0,525,86.177104
2.0,833,87.749582
1.0,624,88.959521
0.0,525,89.92476
0.0,541,90.893247
0.0,529,91.843456
2.0,838,93.388467
1.0,718,94.75902
1.0,652,95.938599
3.0,1000,97.899162
1.0,719,99.271041
4.0,1224,101.695316
0.0,517,102.666828
4.0,1243,105.180134
0.0,525,106.164218
6.0,1620,109.37347
2.0,892,111.115426
0.0,520,112.113193
0.0,508,113.052568
0.0,514,114.016949
1.0,690,115.358396
0.0,539,116.36233
0.0,543,117.339492
2.0,826,118.918072
1.0,690,120.23809
0.0,525,121.185003
2.0,824,122.84507
1.0,652,124.106546
0.0,499,125.005983
0.0,516,125.964722
1.0,733,127.359402
1.0,694,128.6711
1.0,645,129.88752
0.0,515,130.883379
2.0,812,132.445335
1.0,712,133.743533
0.0,533,134.739305
0.0,516,135.713903
0.0,527,136.738055
0.0,525,137.725307
4.0,1141,139.973353
3.0,1010,141.935961
0.0,529,142.91171
1.0,615,144.087279
2.0,813,145.696306
1.0,640,146.87393
0.0,543,147.846195
1.0,739,149.246706
0.0,517,150.23576
