#{"t_start": 1764713411.4022796, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,1232,6.071705
8.0,1502,8.532292
0.0,528,9.358148
0.0,529,10.173316
2.0,906,11.629326
1.0,706,12.79385
0.0,520,13.645569
2.0,811,14.930611
2.0,823,16.214861
1.0,647,17.269498
1.0,704,18.424369
0.0,527,19.281702
0.0,533,20.121998
0.0,521,20.928529
3.0,1036,22.653289
1.0,624,23.639887
2.0,898,25.097062
2.0,906,26.561241
0.0,503,27.335797
2.0,909,28.773534
0.0,523,29.505025
0.0,516,30.285806
1.0,727,31.368553
4.0,1221,33.247004
0.0,515,34.060672
0.0,519,34.844384
1.0,713,35.901903
0.0,537,36.692422
0.0,543,37.495018
2.0,788,38.741244
5.0,1406,41.11337
2.0,907,42.593287
0.0,529,43.393588
0.0,535,44.262106
0.0,528,45.03386
0.0,519,45.793782
0.0,529,46.63153
1.0,638,47.635495
2.0,806,50.122925
0.0,521,51.07276
0.0,515,52.035506
1.0,689,53.331317
6.0,1531,56.459939
3.0,905,58.260788
2.0,826,59.798631
3.0,1101,61.926486
3.0,1006,63.890986
0.0,540,64.932026
1.0,714,66.297372
4.0,1212,68.701663
0.0,519,69.670865
0.0,531,70.638763
3.0,939,72.396915
0.0,529,73.381891
0.0,525,74.396606
4.0,1230,76.808723
5.0,1492,79.841374
1.0,725,81.185158
6.0,1485,84.218505
0.0,516,85.164827
0.0,524,86.153612
1.0,722,87.53462
1.0,614,88.661077
1.0,710,90.027678
2.0,763,91.489959
3.0,1118,93.644639
2.0,802,95.23973
0.0,527,96.175242
3.0,1003,98.151994
1.0,719,99.539479
0.0,519,100.480442
0.0,540,101.459258
0.0,509,102.391968
0.0,533,103.389462
2.0,823,105.009618
1.0,622,106.217317
4.0,1204,108.614564
0.0,504,109.549578
0.0,537,110.537178
0.0,517,111.48836
0.0,507,112.456188
3.0,1017,114.4842
2.0,822,116.025167
3.0,1015,118.064775
4.0,1288,120.612857
2.0,900,122.387943
1.0,711,123.7974
1.0,703,125.143868
1.0,649,126.371982
0.0,527,127.340199
1.0,724,128.686281
2.0,757,130.162905
3.0,927,131.999454
1.0,635,133.175561
0.0,525,134.191038
4.0,1162,136.458819
0.0,536,137.469284
0.0,527,138.441042
2.0,810,140.039266
0.0,511,140.962681
0.0,519,141.874772
0.0,527,142.824576
3.0,1032,144.888685
2.0,822,146.497846
0.0,532,147.447841
9.0,1712,150.892697
0.0,517,151.856061
0.0,519,152.831274
3.0,998,154.841576
0.0,525,155.782821
2.0,856,157.382782
8.0,1744,160.803399
0.0,507,161.765971
4.0,1206,164.137911
0.0,513,165.040838
1.0,717,166.358529
1.0,635,167.544572
1.0,695,168.871249
0.0,526,169.840468
1.0,722,171.196648
0.0,505,172.128115
0.0,525,173.051489
8.0,1924,176.932781
0.0,523,177.882275
0.0,523,178.875986
3.0,1010,180.879184
2.0,749,182.320051
1.0,693,183.5722
0.0,541,184.573842
2.0,843,186.23127
1.0,629,187.376298
2.0,813,188.906299
0.0,508,189.900641
1.0,704,191.186697
1.0,700,192.561021
3.0,1008,194.603365
4.0,1080,196.767824
11.0,1822,200.510744
0.0,530,201.512538
3.0,1012,203.500993
2.0,736,204.909949
0.0,543,205.847023
2.0,906,207.560896
0.0,521,208.537239
1.0,635,209.708511
0.0,531,210.702552
1.0,717,212.028322
1.0,637,213.217445
0.0,531,214.197316
2.0,747,215.600884
0.0,529,216.530504
3.0,934,218.345876
2.0,908,220.077946
2.0,903,221.814153
3.0,1026,223.916598
1.0,624,225.149236
3.0,941,226.910109
1.0,707,228.244457
0.0,524,229.220856
0.0,520,230.167696
0.0,533,231.099706
2.0,811,232.67004
0.0,532,233.596211
1.0,646,234.815687
1.0,616,235.945557
0.0,508,236.8539
0.0,510,237.7867
4.0,1202,240.140573
0.0,520,241.062046
0.0,527,242.017004
0.0,515,242.941404
1.0,622,244.221837
3.0,941,246.049632
1.0,632,247.288473
1.0,707,248.620021
3.0,1033,250.57726
2.0,806,252.151484
3.0,1008,254.290092
2.0,727,255.691379
0.0,523,256.689897
4.0,1121,258.972563
0.0,522,259.887111
0.0,521,260.845307
0.0,531,261.759525
2.0,813,263.314175
2.0,814,264.898442
0.0,506,265.843793
0.0,520,266.797423
1.0,710,268.12038
2.0,825,269.706912
1.0,723,271.02737
2.0,825,272.593037
0.0,531,273.533039
0.0,520,274.522174
0.0,507,275.454934
1.0,689,276.750219
2.0,890,278.406872
1.0,694,279.701323
0.0,517,280.670086
1.0,636,281.852657
4.0,1206,284.345506
3.0,871,286.034094
2.0,827,287.650185
4.0,1219,289.918385
1.0,637,291.107173
1.0,720,292.520516
0.0,533,293.397742
1.0,702,294.801072
2.0,813,296.392165
2.0,809,297.989912
0.0,525,298.94093
1.0,693,300.205258
0.0,507,301.142875
0.0,516,302.043235
5.0,1326,304.686873
0.0,517,305.651287
3.0,1105,307.699909
2.0,907,309.414616
0.0,513,310.303536
0.0,527,311.21174
0.0,537,312.120437
0.0,519,313.023111
0.0,528,313.969189
1.0,639,315.213406
0.0,519,316.160944
0.0,523,317.147442
0.0,521,318.126544
0.0,500,319.061368
2.0,893,320.791865
1.0,724,322.131519
3.0,1040,324.15509
3.0,1009,326.145049
0.0,516,327.114468
4.0,1066,329.269704
1.0,643,330.476957
0.0,508,331.396369
8.0,1534,334.394603
0.0,532,335.395117
0.0,513,336.287642
2.0,809,337.834859
0.0,499,338.713418
2.0,820,340.279474
2.0,906,341.981399
0.0,524,342.935652
0.0,523,343.889391
3.0,872,345.599503
0.0,535,346.53023
1.0,635,347.706537
3.0,1004,349.662798
3.0,1005,351.635258
3.0,996,353.526706
0.0,535,354.499535
2.0,828,356.057368
1.0,630,357.278677
1.0,704,358.625556
2.0,755,360.024435
0.0,507,360.965551
0.0,523,361.906245
0.0,523,362.872706
0.0,528,363.836693
1.0,644,365.064551
1.0,736,366.418976
3.0,944,368.256516
4.0,1093,370.428076
0.0,539,371.4201
1.0,626,372.596502
0.0,513,373.510351
0.0,514,374.481608
8.0,1494,377.406697
0.0,533,378.355025
0.0,539,379.315679
2.0,822,380.810116
0.0,515,381.748264
3.0,919,383.535112
2.0,805,385.173238
2.0,826,386.736886
3.0,1118,388.941091
0.0,523,389.894414
0.0,529,390.837748
0.0,543,391.803578
0.0,533,392.796734
5.0,1336,395.476958
0.0,515,396.411148
0.0,531,397.323808
0.0,519,398.263386
0.0,533,399.218077
5.0,1360,401.889468
1.0,635,403.101091
2.0,757,404.620462
1.0,637,405.825508
3.0,1114,407.969864
0.0,519,408.915505
2.0,819,410.397934
4.0,1196,412.694617
3.0,1116,414.827361
2.0,772,416.325094
10.0,1808,424.042194
4.0,1214,426.412313
0.0,523,427.399081
0.0,536,428.387399
0.0,503,429.333848
0.0,532,430.232446
1.0,692,431.506188
1.0,625,432.66241
0.0,525,433.625773
2.0,817,435.200631
0.0,511,436.135099
3.0,1010,437.994668
3.0,1116,440.259539
1.0,628,441.405191
5.0,1327,443.978027
0.0,527,444.986576
0.0,516,445.918319
1.0,635,447.078697
1.0,624,448.205982
0.0,512,449.135591
5.0,1502,452.034864
0.0,543,452.996473
9.0,1930,456.849847
4.0,1071,458.960957
1.0,704,460.275742
0.0,527,461.232291
5.0,1434,464.047179
1.0,644,465.212245
2.0,822,466.805607
2.0,758,468.260887
5.0,1414,470.978361
2.0,902,472.70128
3.0,872,474.406159
0.0,516,475.324051
10.0,1738,478.698611
3.0,993,480.571943
9.0,1519,483.54533
0.0,513,484.48952
0.0,515,485.411576
0.0,519,486.372147
0.0,516,487.290751
5.0,1411,489.995424
0.0,509,490.927325
2.0,829,492.436383
0.0,539,493.41351
0.0,528,494.439551
2.0,804,495.924887
5.0,1406,498.725423
0.0,543,499.70967
2.0,818,501.347291
0.0,517,502.265379
2.0,809,503.829168
0.0,524,504.837445
0.0,541,505.87502
1.0,726,507.286488
3.0,1013,509.300035
2.0,810,510.861423
0.0,508,511.805268
0.0,532,512.759887
2.0,760,514.229321
0.0,515,515.211757
5.0,1411,517.936258
2.0,816,519.510572
0.0,523,520.44863
0.0,505,521.355048
4.0,1204,523.794142
0.0,535,524.799092
0.0,516,525.769379
4.0,1189,528.195602
0.0,517,529.112852
0.0,521,530.053049
2.0,892,531.713039
4.0,1213,534.157498
9.0,1620,537.308013
0.0,516,538.192403
1.0,640,539.313499
0.0,539,540.269228
0.0,533,541.243409
1.0,633,542.383386
0.0,535,543.317997
0.0,523,544.311636
5.0,1427,547.108829
0.0,537,548.075227
0.0,543,549.10357
0.0,529,550.106778
1.0,722,551.401936
0.0,521,552.359921
0.0,523,553.329758
0.0,533,554.348571
0.0,531,555.361354
5.0,1414,558.137605
2.0,833,559.665004
0.0,527,560.621018
0.0,525,561.569655
0.0,527,562.510406
6.0,1522,565.598616
0.0,527,566.521357
1.0,644,567.687077
0.0,531,568.63571
0.0,509,569.595511
0.0,543,570.557932
0.0,520,571.523305
10.0,1830,575.198467
0.0,540,576.142332
0.0,523,577.140409
0.0,525,578.067973
7.0,1671,581.432625
0.0,519,582.381987
3.0,992,584.317603
12.0,2074,588.451494
0.0,512,589.387136
2.0,825,590.964011
1.0,653,592.105471
0.0,537,593.003994
11.0,1946,596.859012
0.0,504,597.812363
0.0,529,598.782882
12.0,2130,603.010242
0.0,541,603.948434
0.0,531,604.924743
2.0,765,606.368551
0.0,532,607.450161
14.0,1884,611.171045
9.0,1620,614.456342
0.0,536,615.4656
11.0,1922,619.407247
0.0,516,620.364818
0.0,535,621.383898
9.0,1850,625.000824
1.0,719,626.347146
0.0,539,627.267478
0.0,521,628.229417
1.0,708,629.605883
0.0,541,630.589549
2.0,901,632.357852
