#{"t_start": 1764713411.4363675, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,834,5.387402
0.0,535,6.163491
4.0,1222,8.139535
2.0,768,9.392688
1.0,629,10.396939
1.0,712,11.488766
0.0,520,12.297073
1.0,713,13.529532
4.0,1210,15.503474
4.0,1120,17.395495
0.0,528,18.177695
0.0,524,19.020289
1.0,697,20.204953
0.0,527,21.013236
1.0,651,22.043904
0.0,527,22.857764
0.0,515,23.68107
2.0,906,25.113541
4.0,1216,27.091573
1.0,719,28.161417
2.0,914,29.603127
2.0,895,31.007752
1.0,648,31.948645
1.0,648,32.897736
2.0,801,34.231968
2.0,832,35.48987
4.0,1189,37.417639
5.0,1480,39.873168
1.0,647,40.856163
1.0,700,42.023193
2.0,821,43.33968
0.0,527,44.207137
0.0,519,44.964571
2.0,826,46.288236
1.0,656,47.330701
0.0,521,49.173938
1.0,709,50.501412
13.0,1908,54.409575
2.0,890,56.128089
6.0,1550,59.222507
0.0,520,60.178849
2.0,812,61.663354
0.0,519,62.626118
1.0,726,64.010327
1.0,691,65.387781
0.0,509,66.370373
1.0,724,67.73155
0.0,526,68.697076
1.0,720,70.100321
2.0,838,71.63719
1.0,724,72.979796
0.0,508,74.020643
1.0,711,75.334897
2.0,918,77.112283
1.0,701,78.455529
0.0,527,79.46441
3.0,1008,81.424378
1.0,708,82.783473
0.0,509,83.710749
0.0,512,84.712775
0.0,525,85.700768
1.0,696,87.06836
0.0,535,88.016629
0.0,527,88.958493
0.0,507,89.879735
4.0,1202,92.304487
0.0,535,93.195803
0.0,539,94.222296
1.0,635,95.394024
4.0,1189,97.715814
0.0,540,98.708833
3.0,1004,100.688306
0.0,527,101.640546
5.0,1402,104.530865
3.0,932,106.389644
3.0,1022,108.342671
0.0,527,109.28162
0.0,511,110.256018
4.0,1211,112.680743
4.0,1147,114.94923
1.0,647,116.161473
1.0,639,117.373725
0.0,524,118.322582
2.0,923,120.087334
1.0,627,121.292139
2.0,847,123.038484
0.0,520,124.029162
0.0,533,124.942725
0.0,521,125.896861
0.0,531,126.89371
1.0,627,128.057735
0.0,517,129.054856
0.0,505,129.981239
0.0,511,130.941682
0.0,525,131.884605
0.0,526,132.828566
1.0,643,134.053492
4.0,1051,136.159681
0.0,502,137.136162
1.0,630,138.33875
2.0,768,139.822505
2.0,896,141.519596
0.0,501,142.462031
1.0,696,143.785622
1.0,711,145.159347
0.0,525,146.135309
1.0,638,147.31058
0.0,515,148.263096
1.0,705,149.627593
1.0,701,150.960623
3.0,1034,153.00565
2.0,910,154.777244
1.0,705,156.11625
0.0,537,157.046785
2.0,755,158.45799
1.0,646,159.61094
1.0,631,160.749789
1.0,712,162.129409
5.0,1414,164.853619
0.0,523,165.820526
1.0,712,167.157477
0.0,519,168.076841
0.0,533,169.013777
1.0,712,170.417755
2.0,889,172.162966
0.0,537,173.099394
0.0,534,174.077332
5.0,1278,176.592553
3.0,1022,178.629808
0.0,504,179.586963
0.0,537,180.563879
1.0,698,181.857692
1.0,716,183.19759
1.0,717,184.573908
1.0,622,185.755427
1.0,627,186.942327
0.0,523,187.8635
0.0,506,188.781842
0.0,524,189.783825
1.0,640,190.977607
2.0,761,192.424676
1.0,612,193.646938
4.0,1287,196.247432
0.0,543,197.266991
2.0,831,198.889164
1.0,697,200.220371
0.0,537,201.251532
6.0,1606,204.519099
2.0,827,206.04859
0.0,517,206.972141
1.0,720,208.359618
2.0,804,209.933031
0.0,541,210.911001
3.0,1006,212.845995
0.0,532,213.827151
1.0,653,215.045085
5.0,1472,217.972734
2.0,836,219.510746
0.0,539,220.481923
3.0,1008,222.518825
0.0,528,223.525743
0.0,520,224.56723
5.0,1398,227.32383
0.0,522,228.274274
5.0,1402,231.103845
1.0,714,232.464524
2.0,808,234.023059
3.0,1097,236.147197
0.0,517,237.067463
1.0,721,238.437121
1.0,634,239.581146
4.0,1071,241.654058
2.0,890,243.389228
0.0,522,244.414458
0.0,516,245.394474
2.0,752,246.831751
2.0,823,248.396246
0.0,508,249.338534
2.0,829,250.892101
0.0,515,251.861698
1.0,640,253.105166
0.0,525,254.169324
0.0,503,255.12025
0.0,506,256.08569
1.0,687,257.439953
0.0,513,258.420896
2.0,830,259.966021
2.0,826,261.50022
0.0,519,262.395443
0.0,514,263.356434
0.0,521,264.321912
0.0,543,265.275084
2.0,890,267.000305
1.0,699,268.32707
0.0,499,269.258234
0.0,520,270.198887
0.0,497,271.080878
0.0,517,271.994773
0.0,514,272.9309
0.0,531,273.909148
0.0,524,274.910397
9.0,1692,278.204219
0.0,503,279.131602
1.0,648,280.33086
1.0,717,281.678148
2.0,849,283.262852
0.0,507,284.331807
3.0,883,286.025694
1.0,727,287.363172
1.0,692,288.676759
1.0,718,289.965941
1.0,643,291.201861
0.0,527,292.148885
1.0,682,293.424056
3.0,1022,295.443067
0.0,541,296.442796
0.0,528,297.408356
0.0,527,298.341427
5.0,1191,300.669535
0.0,543,301.629359
2.0,771,303.047855
0.0,515,303.962547
5.0,1408,306.800089
0.0,521,307.666293
0.0,527,308.588072
2.0,821,310.099317
0.0,529,310.95661
1.0,639,312.139844
2.0,921,313.876937
0.0,520,314.92625
0.0,527,315.898693
0.0,535,316.891363
0.0,524,317.86232
4.0,1118,320.070703
2.0,751,321.491938
2.0,834,323.028725
1.0,639,324.302523
0.0,510,325.209749
0.0,527,326.184863
4.0,1234,328.659715
0.0,523,329.647176
0.0,523,330.635021
4.0,1208,332.898881
2.0,822,334.508774
2.0,848,336.094471
0.0,523,337.073596
3.0,1114,339.113354
2.0,749,340.554787
0.0,520,341.455745
0.0,532,342.375876
0.0,516,343.33184
1.0,710,344.686539
0.0,532,345.645024
3.0,1111,347.79285
5.0,1303,350.359806
4.0,1194,352.689078
4.0,1126,354.90103
1.0,711,356.210628
1.0,641,357.427903
0.0,507,358.337285
8.0,1502,361.340995
1.0,624,362.491942
4.0,1115,364.711688
4.0,1149,366.923502
0.0,506,367.882666
1.0,645,369.113288
4.0,1174,371.43898
1.0,651,372.618236
2.0,818,374.163163
1.0,651,375.324944
1.0,639,376.470654
0.0,537,377.455874
2.0,821,379.012012
2.0,817,380.524404
2.0,837,382.082632
2.0,825,383.672601
0.0,521,384.669502
2.0,816,386.261688
3.0,1014,388.227359
1.0,635,389.462248
0.0,520,390.382143
1.0,692,391.692371
0.0,524,392.694842
2.0,803,394.263294
0.0,521,395.221608
4.0,1204,397.574487
0.0,520,398.45616
0.0,533,399.444078
1.0,642,400.60892
2.0,765,402.066211
1.0,643,403.271084
0.0,536,404.291055
0.0,535,405.273866
2.0,811,406.805152
0.0,522,407.764557
3.0,934,409.586311
0.0,527,410.492747
2.0,894,412.148962
0.0,517,413.090872
1.0,619,414.300807
1.0,707,415.631444
2.0,808,421.281947
9.0,1616,424.557407
4.0,1089,426.67591
0.0,512,427.619958
11.0,1854,431.331367
4.0,1308,433.92526
5.0,1406,436.66383
2.0,803,438.134449
2.0,806,439.797426
5.0,1336,442.348485
3.0,1020,444.336681
2.0,821,445.884686
1.0,725,447.191313
5.0,1402,449.97952
2.0,802,451.46263
0.0,521,452.37607
0.0,515,453.315822
2.0,763,454.82337
4.0,1202,457.177788
0.0,520,458.171006
1.0,706,459.492601
4.0,1220,461.86051
1.0,636,462.992238
6.0,1121,465.221503
2.0,833,466.813822
0.0,527,467.759809
2.0,905,469.394445
0.0,528,470.337899
4.0,1199,472.7477
0.0,536,473.709242
4.0,1310,476.219625
0.0,536,477.158169
2.0,797,478.631887
4.0,1300,481.100234
2.0,820,482.603371
11.0,1962,486.47045
0.0,535,487.419355
3.0,989,489.263353
0.0,516,490.182618
0.0,531,491.138544
2.0,825,492.628496
2.0,817,494.263416
11.0,1958,498.167978
0.0,517,499.138827
0.0,541,500.115656
0.0,535,501.117173
4.0,1204,503.444389
5.0,1398,506.442866
0.0,531,507.430008
3.0,1012,509.430339
0.0,513,510.348241
2.0,804,511.927158
10.0,1734,515.435988
5.0,1403,518.201852
0.0,520,519.163767
3.0,1008,521.084633
0.0,521,522.055555
1.0,632,523.253112
3.0,1092,525.46473
0.0,532,526.434001
0.0,516,527.406209
0.0,527,528.349694
5.0,1398,531.04455
0.0,527,532.010367
0.0,527,532.953905
0.0,516,533.959714
0.0,515,534.911162
1.0,644,536.033825
6.0,1502,538.922529
0.0,527,539.86232
2.0,834,541.458466
0.0,519,542.349207
0.0,519,543.283459
0.0,520,544.321171
0.0,516,545.258408
0.0,521,546.210792
0.0,507,547.161212
1.0,711,548.547151
0.0,519,549.566311
10.0,1758,553.044184
0.0,520,554.046557
0.0,520,555.036147
0.0,539,556.041009
9.0,1632,559.224698
10.0,1667,562.540012
0.0,533,563.534432
0.0,531,564.523304
0.0,533,565.473163
5.0,1332,568.044081
0.0,521,569.003295
0.0,520,569.95819
0.0,508,570.921381
0.0,531,571.896667
12.0,1967,575.839441
1.0,705,577.211185
2.0,836,578.798186
0.0,517,579.769982
16.0,2288,584.393668
0.0,524,585.30682
0.0,533,586.267341
3.0,1005,588.243484
10.0,1738,591.67662
0.0,533,592.606894
6.0,1596,595.670701
0.0,519,596.590765
0.0,527,597.578929
0.0,525,598.554731
10.0,1742,601.955605
0.0,523,602.909995
5.0,1427,605.704765
2.0,834,607.417704
0.0,525,608.36128
2.0,822,609.904098
0.0,537,610.86277
0.0,515,611.802379
9.0,1636,615.124462
1.0,652,616.338094
5.0,1329,618.979336
0.0,509,619.91727
0.0,525,620.914801
9.0,1538,623.889716
2.0,756,625.38921
11.0,1942,629.296906
6.0,1592,632.523197
0.0,539,633.451027
15.0,2082,637.655634
0.0,516,638.62103
1.0,637,639.811096
1.0,711,641.099852
9.0,1523,644.171697
5.0,1427,646.903428
6.0,1520,649.851944
11.0,1928,653.589633
1.0,647,654.868794
2.0,829,656.438498
2.0,928,658.238422
1.0,623,659.350281
0.0,537,660.307223
1.0,699,661.600953
12.0,2064,665.646368
0.0,521,666.600199
2.0,821,668.181632
0.0,521,669.180792
2.0,772,670.617986
2.0,757,672.065999
2.0,831,673.703599
11.0,1944,677.550361
9.0,1640,680.843263
5.0,1344,683.520774
0.0,536,684.537096
0.0,532,685.504894
5.0,1303,688.069509
6.0,1528,690.984116
1.0,655,692.162105
2.0,835,693.717528
1.0,639,694.945851
0.0,543,695.938849
0.0,531,696.842566
6.0,1540,699.897806
5.0,1182,702.197946
3.0,887,703.979831
1.0,711,705.265748
10.0,1822,708.82188
10.0,1746,712.278292
0.0,516,713.20937
8.0,1720,716.622127
1.0,651,717.799389
2.0,833,719.364542
8.0,1201,721.667157
4.0,1059,723.72326
9.0,1558,726.760695
13.0,2300,731.22471
3.0,945,732.996448
5.0,1303,735.547168
0.0,520,736.519264
7.0,1508,739.573595
10.0,2070,743.691822
1.0,631,744.916351
1.0,619,746.102905
9.0,2046,750.331084
1.0,644,751.473536
0.0,540,752.39497
0.0,520,753.376766
0.0,515,754.376298
5.0,1215,756.852789
3.0,846,758.451669
0.0,515,759.430452
3.0,964,761.228412
9.0,1535,764.295764
2.0,900,765.945003
9.0,1546,768.997315
1.0,636,770.186001
0.0,513,771.116904
6.0,1596,774.19488
3.0,881,775.868325
6.0,1594,779.030302
2.0,828,780.568074
3.0,880,782.21679
2.0,839,783.760892
7.0,1821,787.296501
5.0,1254,789.671523
5.0,1415,792.382607
12.0,1710,795.813273
4.0,1064,797.8784
1.0,705,799.257537
12.0,2056,803.214072
15.0,1926,807.109863
10.0,1734,810.553112
6.0,1567,813.576299
11.0,2022,817.534297
4.0,1136,819.718475
11.0,2327,824.293255
3.0,872,825.935083
7.0,1658,829.203337
8.0,1143,831.367434
5.0,1179,833.660563
3.0,893,844.646668
12.0,1163,846.858287
11.0,2022,850.836575
9.0,1356,853.380685
6.0,1540,856.401748
9.0,1259,858.800066
4.0,1142,861.017195
4.0,988,862.901217
10.0,1830,866.555112
2.0,906,868.266852
3.0,1094,870.435666
8.0,1123,872.628491
7.0,1711,876.044488
7.0,1442,878.888903
8.0,1584,882.038319
9.0,1255,884.581759
6.0,1631,887.865344
15.0,2547,892.910886
10.0,1730,896.352304
11.0,1103,898.494391
11.0,2022,902.366898
17.0,2350,907.002166
12.0,1302,909.542315
11.0,1904,913.315327
8.0,1826,917.000361
13.0,2208,921.364065
8.0,1727,924.688425
7.0,1599,927.773313
17.0,2610,933.050334
7.0,1697,936.339855
14.0,2446,941.156135
13.0,1347,943.801619
10.0,1918,947.594241
11.0,1095,949.713666
11.0,2119,953.980149
20.0,2460,958.85888
11.0,1896,962.567348
13.0,2218,966.984491
11.0,1103,969.175877
2.0,761,970.615725
12.0,1286,973.051589
15.0,1542,976.163916
14.0,2264,980.618136
27.0,2756,986.198078
8.0,1810,989.81035
10.0,2130,994.0571
11.0,1908,997.797161
8.0,1960,1001.686767
12.0,1988,1005.686936
9.0,1988,1009.669734
14.0,1410,1012.451952
10.0,2245,1016.987696
14.0,2833,1022.717377
0.0,524,1023.703698
14.0,2344,1028.370176
12.0,2505,1033.367885
12.0,1831,1037.146536
14.0,2280,1041.803813
12.0,2151,1046.415778
13.0,1359,1049.225251
1.0,716,1050.718789
6.0,1579,1054.07946
0.0,527,1055.14618
9.0,2006,1059.546001
6.0,1153,1061.916278
7.0,1581,1065.180593
17.0,2013,1069.508528
3.0,1092,1071.818305
10.0,1460,1074.85559
8.0,1183,1077.28699
7.0,1611,1080.630837
11.0,1111,1082.824957
13.0,2210,1087.321461
25.0,2552,1092.424205
8.0,1962,1096.349717
7.0,1491,1099.287289
12.0,1298,1101.825854
14.0,2664,1107.162585
13.0,2184,1111.500083
12.0,1298,1114.048894
11.0,1904,1117.76269
17.0,2063,1121.887506
1.0,647,1123.103604
12.0,2038,1127.186709
