#{"t_start": 1764713411.519186, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
9.0,1518,6.524668
0.0,517,7.32831
0.0,527,8.077031
0.0,513,8.884922
0.0,531,9.70943
0.0,520,10.493363
0.0,513,11.245901
1.0,701,12.402689
2.0,818,13.77642
3.0,1022,15.400512
1.0,701,16.548362
0.0,496,17.349944
0.0,520,18.116118
0.0,528,18.953209
0.0,532,19.802352
2.0,818,21.17756
1.0,645,22.171683
0.0,528,22.991868
2.0,801,24.301383
0.0,527,25.130591
0.0,517,25.891691
1.0,627,26.856011
3.0,1014,28.485025
4.0,1217,30.431876
1.0,717,31.504627
1.0,629,32.436101
1.0,700,33.531158
0.0,523,34.348478
0.0,531,35.120362
0.0,517,35.904872
0.0,525,36.680164
0.0,517,37.502702
1.0,639,38.470322
0.0,517,39.260696
3.0,942,40.792209
2.0,833,42.15109
0.0,509,42.93561
1.0,636,43.98875
6.0,1526,46.609207
1.0,724,47.74943
0.0,521,49.652864
4.0,1208,52.063824
0.0,533,52.995684
0.0,543,54.007059
0.0,532,55.006382
1.0,628,56.187004
0.0,507,57.179615
1.0,704,58.507342
2.0,825,60.062197
1.0,733,61.368314
2.0,803,62.908979
2.0,752,64.393678
1.0,627,65.641371
2.0,802,67.2091
7.0,1714,70.670947
2.0,894,72.35859
0.0,529,73.341591
0.0,531,74.357844
0.0,527,75.275623
0.0,543,76.207618
1.0,703,77.618819
0.0,520,78.563609
0.0,530,79.551454
2.0,834,81.140594
1.0,622,82.323394
0.0,534,83.289395
3.0,926,85.172697
1.0,689,86.516775
6.0,1512,89.542359
1.0,641,90.742316
0.0,531,91.686928
3.0,1026,93.662785
1.0,721,95.054197
1.0,693,96.35612
0.0,499,97.246449
0.0,520,98.252141
1.0,692,99.562669
1.0,701,100.92469
4.0,1124,103.152822
0.0,535,104.176198
0.0,532,105.131424
0.0,541,106.146184
0.0,537,107.120064
0.0,501,108.0087
2.0,821,109.613963
3.0,1032,111.660676
1.0,636,112.860145
